Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,171,0,174,164,174,3,180600,30904200,105,174.0,174,163700,170,100,1307530330,1307530330,0,13000,0,0,0,0
2026-03-11,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,170,0,172,163,171,1,176100,29986300,93,171.0,171,84800,164,100,1307530330,1307530330,0,23200,0,0,0,0
2026-03-10,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,168,0,172,154,170,2,701300,115669200,202,170.0,170,121700,163,1600,1307530330,1307530330,0,15200,0,0,0,0
2026-03-09,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,160,0,168,145,168,8,1183300,191345500,258,168.0,168,26700,167,92000,1307530330,1307530330,0,71200,0,0,0,0
2026-03-06,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,150,0,161,137,160,10,269800,41857400,226,160.0,160,14200,159,190700,1307530330,1307530330,0,41500,0,0,0,0
2026-03-05,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,139,0,150,131,150,11,134000,19602500,95,150.0,149,100,144,100,1307530330,1307530330,0,5200,0,0,0,0
2026-03-04,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,145,0,149,132,139,-6,203000,27269700,67,139.0,139,2300,135,100,1307530330,1307530330,0,4000,0,0,0,0
2026-03-03,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,147,0,152,145,145,-2,69900,10160400,73,145.0,147,100,146,100,1307530330,1307530330,0,0,0,0,0,0
2026-03-02,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,147,0,150,142,147,0,156300,22567400,52,147.0,151,100,147,24700,1307530330,1307530330,0,0,0,0,0,0
2026-02-27,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,148,0,158,145,147,-1,93800,14054100,99,147.0,149,100,147,24300,1307530330,1307530330,0,900,0,0,0,0
2026-02-26,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,157,0,159,144,148,-9,81500,12160700,71,148.0,150,2700,148,2000,1307530330,1307530330,0,6200,0,0,0,0
2026-02-25,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,154,0,169,152,157,3,195000,31366800,165,157.0,157,5000,155,200,1307530330,1307530330,0,29900,0,0,0,0
2026-02-24,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,158,0,160,154,154,-4,193600,29869900,28,154.0,157,100,154,56500,1307530330,1307530330,0,300,0,0,0,0
2026-02-23,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,156,0,159,151,158,2,28900,4536200,24,158.0,158,1300,156,20700,1307530330,1307530330,0,0,0,0,0,0
2026-02-20,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,158,0,161,156,156,-2,43100,6770500,29,156.0,158,1000,156,76500,1307530330,1307530330,0,1100,0,0,0,0
2026-02-19,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,158,0,161,151,158,0,50800,7887600,64,158.0,158,400,154,11300,1307530330,1307530330,0,500,0,0,0,0
2026-02-18,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,157,0,165,153,158,1,67100,10522800,67,158.0,158,400,155,1500,1307530330,1307530330,0,1200,0,0,0,0
2026-02-13,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,170,0,175,155,157,-13,299600,48651200,193,157.0,161,1500,157,7800,1307530330,1307530330,0,16100,0,0,0,0
2026-02-12,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,155,0,170,155,170,15,1296100,217831600,150,170.0,170,32900,169,134400,1307530330,1307530330,0,96300,0,0,0,0
2026-02-11,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,154,0,159,154,155,1,58800,9247000,30,155.0,158,100,156,100,1307530330,1307530330,0,0,0,0,0,0
2026-02-10,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,154,0,157,154,154,0,27600,4259000,27,154.0,154,44900,153,100,1307530330,1307530330,0,0,0,0,0,0
2026-02-09,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,157,0,161,150,154,-3,116800,18244000,35,154.0,157,500,154,87900,1307530330,1307530330,0,2700,0,0,0,0
2026-02-06,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,156,0,161,152,157,1,140200,22193500,72,157.0,157,100,152,1500,1307530330,1307530330,0,35800,0,0,0,0
2026-02-05,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,167,0,181,153,156,-11,533100,84543300,154,156.0,161,1300,156,1900,1307530330,1307530330,0,80500,0,0,0,0
2026-02-04,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,159,0,168,155,167,8,87100,14432500,40,167.0,167,13300,166,1800,1307530330,1307530330,0,1100,0,0,0,0
2026-02-03,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,154,0,161,154,159,5,223000,35775900,27,159.0,159,12400,157,100,1307530330,1307530330,0,6200,0,0,0,0
2026-02-02,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,168,0,166,154,154,-14,128400,20074900,33,154.0,155,1200,154,7400,1307530330,1307530330,0,0,0,0,0,0
2026-01-30,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,160,0,176,162,168,8,208300,35264200,76,168.0,168,2400,166,100800,1307530330,1307530330,0,0,0,0,0,0
2026-01-29,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,165,0,163,154,160,-5,15000,2378400,19,160.0,162,6800,160,8800,1307530330,1307530330,0,800,0,0,0,0
2026-01-28,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,168,0,182,152,165,-3,534200,86468300,186,165.0,175,3900,165,48900,1307530330,1307530330,0,39700,0,0,0,0
2026-01-27,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,174,0,174,168,168,-6,80500,13616500,34,168.0,170,800,168,57900,1307530330,1307530330,0,0,0,0,0,0
2026-01-26,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,169,0,179,168,174,5,168900,28795700,56,174.0,173,3600,170,11100,1307530330,1307530330,0,5000,0,0,0,0
2026-01-23,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,178,0,176,169,169,-9,156300,26731300,48,169.0,169,5300,168,1200,1307530330,1307530330,0,0,0,0,0,0
2026-01-22,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,177,0,180,175,178,1,59900,10643400,43,178.0,178,19300,175,14100,1307530330,1307530330,0,29700,0,0,0,0
2026-01-21,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,181,0,182,176,177,-4,100400,17900600,41,177.0,178,23800,177,1000,1307530330,1307530330,0,38400,0,0,0,0
2026-01-20,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,186,0,188,176,181,-5,252400,45809400,155,181.0,181,162200,179,900,1307530330,1307530330,0,93800,0,0,0,0
2026-01-19,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,180,0,187,177,186,6,307800,55530700,90,186.0,185,15000,181,4300,1307530330,1307530330,0,12500,0,0,0,0
2026-01-15,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,180,0,185,171,180,0,98300,17632800,65,180.0,180,10300,174,900,1307530330,1307530330,0,7500,0,0,0,0
2026-01-14,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,180,0,186,171,180,0,149800,27009000,89,180.0,180,6900,177,6000,1307530330,1307530330,0,35900,0,0,0,0
2026-01-13,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,184,0,184,172,180,-4,52600,9189400,47,180.0,180,2000,176,300,1307530330,1307530330,0,1300,0,0,0,0
2026-01-12,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,190,0,191,178,184,-6,766600,137770600,129,184.0,184,300,179,12600,1307530330,1307530330,0,39500,0,0,0,0
2026-01-09,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,177,0,191,178,190,13,3370500,627358000,368,190.0,190,148700,189,3200,1307530330,1307530330,0,38900,0,0,0,0
2026-01-08,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,175,0,178,172,177,2,226800,39708300,31,177.0,178,5700,177,21100,1307530330,1307530330,0,0,0,0,0,0
2026-01-07,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,180,0,185,171,175,-5,229200,39961400,77,175.0,178,200,175,21900,1307530330,1307530330,0,100,0,0,0,0
2026-01-06,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,179,0,180,171,180,1,72800,12821800,62,180.0,180,1100,177,6100,1307530330,1307530330,0,0,30000,0,0,0
2026-01-05,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,185,0,184,175,179,-6,564000,100418300,127,179.0,178,3500,176,18200,1307530330,1307530330,0,0,0,0,0,0
2026-01-02,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,181,0,191,182,185,4,1422500,262515300,160,185.0,185,14500,184,36100,1307530330,1307530330,0,0,0,0,0,0
2025-12-30,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,166,0,182,164,181,15,1415400,247310600,194,181.0,181,50800,179,2500,1307530330,1307530330,0,2800,0,0,0,0
2025-12-29,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,151,0,166,145,166,15,330400,51556700,118,166.0,166,45000,163,99700,1307530330,1307530330,0,15700,0,0,0,0
2025-12-24,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,157,0,158,151,151,-6,381300,58159000,91,151.0,152,2700,151,164100,1307530330,1307530330,0,0,0,0,0,0
2025-12-23,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,152,0,167,154,157,5,1558200,244992300,235,157.0,159,2000,157,3100,1307530330,1307530330,0,29000,0,0,0,0
2025-12-22,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,166,0,172,152,152,-14,264200,43300800,63,152.0,152,5400,151,76400,1307530330,1307530330,0,168300,0,0,0,0
2025-12-19,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,170,0,173,164,166,-4,84900,14159200,30,166.0,167,100,166,9300,1307530330,1307530330,0,0,0,0,0,0
2025-12-18,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,167,0,176,162,170,3,1106700,184520300,535,170.0,170,2600,165,3400,1307530330,1307530330,0,40900,0,0,0,0
2025-12-17,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,168,0,167,164,167,-1,15200,2530100,27,167.0,167,135600,165,10100,1307530330,1307530330,0,1000,0,0,0,0
2025-12-16,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,170,0,175,159,168,-2,1654300,270817300,130,168.0,168,19200,165,2000,1307530330,1307530330,0,900,0,0,0,0
2025-12-15,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,182,0,181,170,170,-12,252200,43857400,80,170.0,170,32000,169,33300,1307530330,1307530330,0,19900,0,0,0,0
2025-12-12,KLIN,Klinko Karya Imaji Tbk.,--U-3000000000E743------------,181,0,182,168,182,1,577500,101112100,175,182.0,182,3300,180,52100,1307530330,1307530330,0,11000,0,0,0,0
