Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2025-07-18,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-17,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-16,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-15,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-14,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-11,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-10,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-09,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-08,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-07,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-04,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-03,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-02,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-07-01,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-30,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-26,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-25,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-24,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-23,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-20,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-19,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-18,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-17,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-16,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-13,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
2025-06-12,KPAS,Cottonindo Ariesta Tbk.,--U-4100000000D421B--L---Y---X,62,0,0,0,62,0,0,0,0,36.9,0,0,0,0,768043253,768043253,272194529,0,0,0,0,0
