Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,695,700,740,700,730,35,1497300,1081702500,407,83.1,730,19200,725,100000,5134685692,5134685692,479066175,366000,351000,0,0,0
2026-03-09,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,730,760,760,675,695,-35,2590900,1835524500,548,79.1,705,11700,690,12000,5134685692,5134685692,479066175,642200,659400,0,0,0
2026-03-06,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,735,730,775,700,730,-5,916800,660426500,320,83.1,735,500,730,75100,5134685692,5134685692,479066175,203000,106700,0,0,0
2026-03-05,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,740,750,775,725,735,-5,2014500,1495747000,348,83.7,735,25100,730,237300,5134685692,5134685692,479066175,181500,164000,0,0,0
2026-03-04,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,775,770,775,720,740,-35,2348000,1747765500,574,84.3,740,34300,735,4500,5134685692,5134685692,479066175,430100,408600,0,0,0
2026-03-03,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,775,775,800,760,775,0,1480900,1158285000,430,88.2,780,13900,775,109900,5134685692,5134685692,479066175,232400,399600,0,0,0
2026-03-02,LPCK,Lippo Cikarang Tbk,--MO2135000000H111------------,830,785,840,750,775,-55,6200200,4978647500,1028,88.2,775,9300,770,124200,5134685692,5134685692,479066175,817500,917800,0,0,0
2026-02-27,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,810,780,835,780,830,20,1536700,1235712500,523,94.5,830,409900,820,12600,5134685692,5134685692,479066175,7100,365000,0,0,0
2026-02-26,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,820,835,840,795,810,-10,2568900,2096996500,597,92.2,810,1000,805,4400,5134685692,5134685692,479066175,409000,151700,0,0,0
2026-02-25,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,835,850,860,805,820,-15,5307800,4455279000,1287,93.4,825,17300,820,17100,5134685692,5134685692,479066175,1162100,550200,0,0,0
2026-02-24,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,815,815,930,815,835,20,15878700,13830660000,3996,95.1,840,1000,835,116100,5134685692,5134685692,479066175,1253400,1904800,0,0,0
2026-02-23,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,795,795,840,785,815,20,3520300,2855500000,1028,92.8,815,519200,810,6300,5134685692,5134685692,479066175,229800,620200,0,0,0
2026-02-20,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,800,805,805,785,795,-5,1736900,1379533000,312,90.5,800,61400,795,20000,5134685692,5134685692,479066175,231900,198600,0,0,0
2026-02-19,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,805,805,830,795,800,-5,2393400,1932010000,541,91.1,805,3000,800,66100,5134685692,5134685692,479066175,100800,441800,0,0,0
2026-02-18,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,805,810,830,785,805,0,2309800,1850356500,622,91.7,810,19600,805,2043000,5134685692,5134685692,479066175,160800,269900,0,0,0
2026-02-13,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,835,840,840,790,805,-30,2133700,1726510500,939,91.7,805,13600,800,28200,5134685692,5134685692,479066175,247300,21200,0,0,0
2026-02-12,LPCK,Lippo Cikarang Tbk,--UO2135000000H111------------,785,785,875,765,835,50,8433500,7018976500,2726,95.1,840,5600,835,2400,5134685692,5134685692,479066175,899900,728800,0,0,0
