Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,29,0,30,29,29,0,796800,23573600,69,38.7,30,991900,29,1915300,5252644000,5252644000,2272819059,0,0,6880000,344000000,2
2026-03-09,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,31,0,29,29,29,-2,3962300,114906700,159,38.7,30,11100,29,312100,5252644000,5252644000,2272819059,0,0,0,0,0
2026-03-06,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,31,0,31,31,31,0,2624200,81350200,101,41.3,31,1166600,30,1323600,5252644000,5252644000,2272819059,0,0,0,0,0
2026-03-05,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,31,0,31,28,31,0,10089300,288290800,225,41.3,32,350200,31,220400,5252644000,5252644000,2272819059,0,0,6650000,332500000,1
2026-03-04,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,34,0,31,31,31,-3,7722700,239403700,212,41.3,31,2151500,0,0,5252644000,5252644000,2272819059,0,0,80000,4000000,1
2026-03-03,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,34,0,35,34,34,0,2128500,73195700,88,45.3,35,573200,34,457700,5252644000,5252644000,2272819059,0,0,100000,5000000,1
2026-03-02,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,35,0,34,34,34,-1,1358900,46202600,114,45.3,34,110500,33,2367200,5252644000,5252644000,2272819059,0,0,0,0,0
2026-02-27,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,34,0,35,33,35,1,3341900,113012200,99,46.7,35,24000,34,1581600,5252644000,5252644000,2272819059,0,0,6450000,322500000,1
2026-02-26,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,34,0,34,34,34,0,1059200,36012800,90,45.3,35,578400,34,220400,5252644000,5252644000,2272819059,0,0,0,0,0
2026-02-25,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,34,0,35,34,34,0,2488300,86025900,108,45.3,35,911700,34,283100,5252644000,5252644000,2272819059,0,0,0,0,0
2026-02-24,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,35,0,35,34,34,-1,954700,32941000,95,45.3,35,2073000,34,352800,5252644000,5252644000,2272819059,0,0,0,0,0
2026-02-23,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,35,0,35,35,35,0,2028700,71004500,157,46.7,35,3700,34,365500,5252644000,5252644000,2272819059,0,0,6370000,318500000,2
2026-02-20,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,35,0,35,34,35,0,3071800,105633900,103,46.7,35,590800,34,509800,5252644000,5252644000,2272819059,0,0,0,0,0
2026-02-19,MARI,Mahaka Radio Integra Tbk.,--U-4100000000E612-E---------X,34,0,35,34,35,1,1430200,49634800,103,46.7,35,4015200,34,749200,5252644000,5252644000,2272819059,0,0,0,0,0
