Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,765,765,775,760,775,10,8802900,6751532000,1164,1550.0,775,40600,765,5000,3800000310,3800000310,749740061,890000,803400,0,0,0
2026-03-10,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,750,750,765,750,765,15,15434700,11652079500,1864,1530.0,765,167900,760,190100,3800000310,3800000310,749740061,1198100,713800,0,0,0
2026-03-09,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,750,745,760,720,750,0,4656700,3443445000,653,1500.0,750,62400,745,81100,3800000310,3800000310,749740061,1653900,1061200,0,0,0
2026-03-06,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,775,775,775,730,750,-25,9617500,7225175000,1147,1500.0,760,257200,750,124200,3800000310,3800000310,749740061,4998700,2214300,0,0,0
2026-03-05,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,780,785,795,765,775,-5,7461200,5819511500,993,1550.0,775,27800,770,11300,3800000310,3800000310,749740061,3197300,932500,0,0,0
2026-03-04,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,800,795,800,770,780,-20,8828800,6913138000,854,1560.0,785,14900,780,28900,3800000310,3800000310,749740061,2819900,1703900,0,0,0
2026-03-03,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,800,800,810,790,800,0,13199900,10543176500,1616,1600.0,805,150000,800,862600,3800000310,3800000310,749740061,1177300,2056500,0,0,0
2026-03-02,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,805,800,805,775,800,-5,8890800,7076174500,1328,1600.0,805,218200,800,349500,3800000310,3800000310,749740061,1409400,504800,0,0,0
2026-02-27,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,805,800,815,800,805,0,8023800,6461374500,1162,1610.0,810,656700,805,20700,3800000310,3800000310,749740061,1350600,1061400,0,0,0
2026-02-26,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,810,810,815,805,805,-5,7094000,5741691500,924,1610.0,810,110900,805,926800,3800000310,3800000310,749740061,976900,2363200,0,0,0
2026-02-25,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,810,810,820,800,810,0,10888300,8777039000,1070,1620.0,815,432500,810,3500,3800000310,3800000310,749740061,6260100,1158400,0,0,0
2026-02-24,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,805,805,825,805,810,5,9801400,7980423000,1156,1620.0,815,221200,805,1545400,3800000310,3800000310,749740061,363100,2176700,0,0,0
2026-02-23,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,805,805,815,800,805,0,11766900,9514636000,1526,1610.0,810,94300,805,531800,3800000310,3800000310,749740061,973600,847700,0,0,0
2026-02-20,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,815,815,815,800,805,-10,12085400,9758189000,1578,1610.0,810,123900,805,29500,3800000310,3800000310,749740061,1331100,907600,0,0,0
2026-02-19,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,810,820,825,810,815,5,10710800,8713449000,1402,1630.0,815,51600,810,775100,3800000310,3800000310,749740061,199800,229300,0,0,0
2026-02-18,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,805,805,820,805,810,5,9943700,8095714500,1027,1620.0,815,39300,810,198200,3800000310,3800000310,749740061,50900,819800,0,0,0
2026-02-13,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,815,815,825,805,805,-10,10103400,8217942000,1318,1610.0,810,103700,800,980700,3800000310,3800000310,749740061,1866400,968100,0,0,0
2026-02-12,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,820,820,825,810,815,-5,17138400,13965889500,1649,1630.0,815,1200,810,452600,3800000310,3800000310,749740061,3238100,2447300,0,0,0
2026-02-11,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,815,815,825,805,820,5,13545000,11080331500,983,1640.0,820,612900,815,118900,3800000310,3800000310,749740061,2691600,1906500,0,0,0
2026-02-10,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,820,830,835,810,815,-5,10554000,8680950500,1268,1630.0,820,46000,815,5200,3800000310,3800000310,749740061,2256100,1229800,0,0,0
2026-02-09,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,830,815,830,815,820,-10,13248300,10893276000,907,1640.0,820,26400,815,513000,3800000310,3800000310,749740061,811900,986300,0,0,0
2026-02-06,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,850,845,850,825,830,-20,6711000,5599688500,606,1660.0,835,15800,830,1500,3800000310,3800000310,749740061,1496000,1186200,0,0,0
2026-02-05,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,850,850,855,840,850,0,6971900,5913061000,583,1700.0,850,159000,845,256500,3800000310,3800000310,749740061,859100,1176300,0,0,0
2026-02-04,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,850,845,855,840,850,0,8570400,7254256500,733,1700.0,850,57900,840,232100,3800000310,3800000310,749740061,2493600,3002000,0,0,0
2026-02-03,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,805,805,850,805,850,45,20463700,17113759500,1646,1700.0,850,622500,840,157000,3800000310,3800000310,749740061,2765500,5453600,0,0,0
2026-02-02,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,835,840,850,795,805,-30,11319300,9197531500,1257,1610.0,810,30900,805,112100,3800000310,3800000310,749740061,4333400,2230600,0,0,0
2026-01-30,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,790,790,850,790,835,45,27105100,22633941000,2292,1670.0,840,455400,835,20500,3800000310,3800000310,749740061,8634000,10116600,0,0,0
2026-01-29,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,785,785,800,725,790,5,25707600,19961560000,2310,1580.0,790,5400,785,379500,3800000310,3800000310,749740061,9919400,6374900,0,0,0
2026-01-28,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,810,810,810,775,785,-25,12558200,9976747500,1587,1570.0,795,169000,785,11800,3800000310,3800000310,749740061,3313400,2564100,0,0,0
2026-01-27,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,820,820,825,805,810,-10,21569100,17557574000,2755,1620.0,810,6500,805,1099000,3800000310,3800000310,749740061,2537900,1337900,0,0,0
2026-01-26,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,825,825,835,815,820,-5,21187600,17488098500,3044,1640.0,820,309300,815,720100,3800000310,3800000310,749740061,1800800,950200,0,0,0
2026-01-23,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,830,840,840,815,825,-5,19114200,15803820000,2346,1650.0,830,15300,825,4200,3800000310,3800000310,749740061,1554800,1733000,0,0,0
2026-01-22,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,830,835,840,825,830,0,14606100,12179874500,1721,1660.0,835,299600,830,768000,3800000310,3800000310,749740061,546600,1681500,0,0,0
2026-01-21,MARK,Mark Dynamics Indonesia Tbk.,--MO1135403000C143------------,840,835,835,810,830,-10,17445100,14331620500,2177,1660.0,830,303300,820,344700,3800000310,3800000310,749740061,3391700,2345200,0,0,0
