Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,440,440,446,408,434,-6,204700,88211000,134,66.8,434,3900,430,400,428000000,428000000,120139600,11200,0,0,0,0
2026-03-09,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,434,420,440,382,440,6,281300,116800000,187,67.7,440,117600,430,500,428000000,428000000,120139600,14000,0,0,0,0
2026-03-06,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,436,0,436,400,434,-2,396600,163884600,227,66.8,434,12700,424,15000,428000000,428000000,120139600,0,0,0,0,0
2026-03-05,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,450,0,448,418,436,-14,850100,362564000,249,67.1,436,102100,426,6000,428000000,428000000,120139600,0,0,0,0,0
2026-03-04,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,460,442,456,392,450,-10,2516100,1076380800,560,69.2,450,37300,436,800,428000000,428000000,120139600,0,483800,0,0,0
2026-03-03,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,460,0,470,440,460,0,1633900,739565400,312,70.8,460,64900,458,600,428000000,428000000,120139600,19900,18500,0,0,0
2026-03-02,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,460,450,460,430,460,0,2780100,1240711400,523,70.8,462,54400,460,500,428000000,428000000,120139600,275900,329600,0,0,0
2026-02-27,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,446,446,462,442,460,14,1535200,698509800,561,70.8,462,12500,460,57000,428000000,428000000,120139600,131400,189400,0,0,0
2026-02-26,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,438,0,458,422,446,8,1172700,519128600,244,68.6,446,9200,444,1800,428000000,428000000,120139600,0,391500,0,0,0
2026-02-25,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,440,0,440,428,438,-2,147100,63605400,110,67.4,436,3200,428,1000,428000000,428000000,120139600,0,0,0,0,0
2026-02-24,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,436,436,456,424,440,4,573400,249354800,194,67.7,440,212100,430,1300,428000000,428000000,120139600,0,0,0,0,0
2026-02-23,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,440,442,442,430,436,-4,263700,114946200,94,67.1,436,11100,434,7200,428000000,428000000,120139600,80400,0,0,0,0
2026-02-20,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,434,438,448,426,440,6,608400,265540000,153,67.7,440,51000,430,2200,428000000,428000000,120139600,89800,0,0,0,0
2026-02-19,MRAT,Mustika Ratu Tbk.,--UO2130000000D421------------,438,440,442,428,434,-4,1060600,458724000,183,66.8,436,600,434,100,428000000,428000000,120139600,75200,0,0,0,0
