Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1325,0,1330,1325,1330,5,2500,3324000,11,158.4,1330,1700,1325,1800,2206312500,2206312500,419420006,0,0,0,0,0
2026-03-10,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1320,0,1330,1320,1325,5,1700,2258000,7,157.8,1345,1300,1325,100,2206312500,2206312500,419420006,100,0,0,0,0
2026-03-09,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1330,0,1380,1310,1320,-10,22400,29826500,38,157.2,1330,100,1320,200,2206312500,2206312500,419420006,2900,5700,0,0,0
2026-03-06,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1330,0,1350,1330,1330,0,3900,5219500,20,158.4,1340,400,1330,2000,2206312500,2206312500,419420006,0,0,0,0,0
2026-03-05,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1330,0,1370,1315,1330,0,16800,22355000,31,158.4,1340,15700,1330,6800,2206312500,2206312500,419420006,0,0,0,0,0
2026-03-04,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1350,0,1345,1325,1330,-20,9500,12691500,27,158.4,1330,33300,1325,900,2206312500,2206312500,419420006,0,0,0,0,0
2026-03-03,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1350,0,1380,1345,1350,0,32200,43922500,37,160.8,1350,1500,1345,400,2206312500,2206312500,419420006,21100,0,0,0,0
2026-03-02,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1375,1375,1375,1350,1350,-25,19100,25975000,28,160.8,1365,1000,1355,100,2206312500,2206312500,419420006,6400,0,0,0,0
2026-02-27,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1380,0,1385,1350,1375,-5,70700,95662500,58,163.8,1375,3400,1350,6300,2206312500,2206312500,419420006,0,16900,0,0,0
2026-02-26,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1385,1400,1400,1380,1380,-5,15200,21108500,21,164.4,1385,100,1370,500,2206312500,2206312500,419420006,2900,0,0,0,0
2026-02-25,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1380,1380,1400,1380,1385,5,4300,5991000,24,165.0,1400,15900,1385,500,2206312500,2206312500,419420006,0,0,0,0,0
2026-02-24,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1390,0,1395,1355,1380,-10,8000,10958000,30,164.4,1390,1500,1380,700,2206312500,2206312500,419420006,800,2500,0,0,0
2026-02-23,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1380,0,1405,1375,1390,10,17800,24506000,14,165.6,1390,2700,1380,500,2206312500,2206312500,419420006,0,1400,0,0,0
2026-02-20,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1405,1405,1415,1380,1380,-25,13200,18578500,19,164.4,1405,100,1380,500,2206312500,2206312500,419420006,10000,0,0,0,0
2026-02-19,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1415,1415,1415,1375,1405,-10,11800,16407500,26,167.3,1405,700,1390,800,2206312500,2206312500,419420006,200,800,0,0,0
2026-02-18,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1375,1375,1415,1355,1415,40,21600,30088000,50,168.5,1415,46700,1370,100,2206312500,2206312500,419420006,2300,1900,0,0,0
2026-02-13,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1395,1395,1405,1350,1375,-20,15200,20830500,34,163.8,1375,6400,1370,300,2206312500,2206312500,419420006,900,0,29879400,41831160000,2
2026-02-12,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1385,0,1400,1375,1395,10,48900,68089000,39,166.2,1395,2500,1375,700,2206312500,2206312500,419420006,35400,5100,0,0,0
2026-02-11,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1365,1370,1400,1370,1385,20,2300,3181000,16,165.0,1395,4200,1380,100,2206312500,2206312500,419420006,0,0,10950000,15001500000,1
2026-02-10,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1365,0,1385,1365,1365,0,83500,114779000,39,162.6,1380,4900,1365,1800,2206312500,2206312500,419420006,50100,2800,0,0,0
2026-02-09,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1385,1365,1380,1355,1365,-20,3100,4229500,21,162.6,1375,300,1370,100,2206312500,2206312500,419420006,0,0,0,0,0
2026-02-06,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1390,0,1385,1360,1385,-5,3100,4243000,18,165.0,1385,2800,1365,1100,2206312500,2206312500,419420006,500,0,0,0,0
2026-02-05,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1425,0,1440,1355,1390,-35,57300,78923500,71,165.6,1385,2000,1365,500,2206312500,2206312500,419420006,39700,0,0,0,0
2026-02-04,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1395,0,1435,1390,1425,30,10900,15270000,35,169.7,1430,1700,1395,600,2206312500,2206312500,419420006,1000,0,0,0,0
2026-02-03,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1415,0,1450,1375,1395,-20,26800,37633500,49,166.2,1430,3600,1390,3700,2206312500,2206312500,419420006,700,8900,0,0,0
2026-02-02,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1420,1420,1450,1350,1415,-5,43000,59228500,90,168.5,1415,5200,1395,200,2206312500,2206312500,419420006,5600,4100,0,0,0
2026-01-30,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1415,1415,1445,1410,1420,5,10200,14597000,24,169.1,1420,20400,1415,300,2206312500,2206312500,419420006,2000,0,0,0,0
2026-01-29,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1405,0,1420,1350,1415,10,89800,123548500,71,168.5,1415,200,1405,1800,2206312500,2206312500,419420006,0,30000,21743000,30005340000,2
2026-01-28,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1460,1460,1460,1405,1405,-55,76800,110412500,109,167.3,1430,24300,1405,33500,2206312500,2206312500,419420006,9600,0,0,0,0
2026-01-27,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1525,1535,1535,1400,1460,-65,128700,192582500,191,173.9,1485,4200,1460,22000,2206312500,2206312500,419420006,7300,9600,6666600,9999900000,1
2026-01-26,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1430,1535,1535,1440,1525,95,314200,469418000,395,181.6,1530,7000,1525,3900,2206312500,2206312500,419420006,91600,23800,0,0,0
2026-01-23,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1480,1435,1535,1425,1430,-50,104600,151638000,107,170.3,1430,700,1425,19600,2206312500,2206312500,419420006,53400,4700,0,0,0
2026-01-22,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1430,1480,1480,1410,1480,50,129100,186596500,73,176.3,1485,200,1480,100,2206312500,2206312500,419420006,56000,2800,0,0,0
2026-01-21,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1425,1425,1530,1395,1430,5,42100,60631000,88,170.3,1430,3800,1405,200,2206312500,2206312500,419420006,5500,600,0,0,0
2026-01-20,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1395,1395,1425,1390,1425,30,54400,76238000,57,169.7,1430,700,1425,600,2206312500,2206312500,419420006,36100,900,0,0,0
2026-01-19,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1420,1420,1420,1390,1395,-25,53200,74642500,102,166.2,1395,12700,1390,2500,2206312500,2206312500,419420006,26000,0,0,0,0
2026-01-15,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1405,0,1420,1410,1420,15,7700,10867500,20,169.1,1420,1000,1415,100,2206312500,2206312500,419420006,0,3800,0,0,0
2026-01-14,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1410,0,1415,1400,1405,-5,41800,58813500,64,167.3,1405,7600,1400,6600,2206312500,2206312500,419420006,0,700,0,0,0
2026-01-13,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1445,1445,1445,1405,1410,-35,54200,77391000,79,167.9,1410,12600,1405,2900,2206312500,2206312500,419420006,28500,900,0,0,0
2026-01-12,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1430,0,1455,1400,1445,15,57400,80962500,64,172.1,1455,1000,1430,20200,2206312500,2206312500,419420006,2300,0,0,0,0
2026-01-09,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1455,1450,1450,1425,1430,-25,68100,97878500,49,170.3,1455,15500,1430,7100,2206312500,2206312500,419420006,900,0,0,0,0
2026-01-08,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1455,0,1460,1450,1455,0,209600,304709000,28,173.3,1455,17400,1450,100,2206312500,2206312500,419420006,206100,151700,0,0,0
2026-01-07,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1470,0,1470,1455,1455,-15,53700,78412500,36,173.3,1460,20000,1455,2500,2206312500,2206312500,419420006,45500,0,3401300,4999911000,1
2026-01-06,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1485,0,1540,1470,1470,-15,74000,109324500,85,175.1,1470,2700,1465,1000,2206312500,2206312500,419420006,56900,3700,0,0,0
2026-01-05,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1545,1545,1545,1470,1485,-60,35800,54270500,69,176.9,1490,100,1485,1200,2206312500,2206312500,419420006,14900,1700,0,0,0
2026-01-02,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1545,1545,1545,1520,1545,0,37700,58192000,43,184.0,1545,18200,1530,300,2206312500,2206312500,419420006,0,700,0,0,0
2025-12-30,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1495,0,1545,1500,1545,50,40100,61603500,47,184.0,1540,500,1535,6000,2206312500,2206312500,419420006,200,0,9967500,15001087500,2
2025-12-29,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1450,1450,1505,1450,1495,45,6600,9795000,38,178.1,1495,300,1455,200,2206312500,2206312500,419420006,700,0,0,0,0
2025-12-24,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1440,1440,1450,1420,1450,10,12200,17491500,24,172.7,1495,200,1450,19500,2206312500,2206312500,419420006,4100,0,5555500,7999920000,1
2025-12-23,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1445,0,1445,1425,1440,-5,6500,9359500,13,171.5,1440,5800,1430,100,2206312500,2206312500,419420006,6200,0,17301000,24999945000,2
2025-12-22,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1430,0,1485,1435,1445,15,5700,8217000,8,172.1,1485,400,1450,100,2206312500,2206312500,419420006,0,0,0,0,0
2025-12-19,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1470,0,1460,1425,1430,-40,9700,13873500,27,170.3,1435,4300,1430,2100,2206312500,2206312500,419420006,0,2900,0,0,0
2025-12-18,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1455,0,1470,1450,1470,15,21500,31356000,25,175.1,1470,2900,1450,800,2206312500,2206312500,419420006,16100,300,0,0,0
2025-12-17,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1460,0,1490,1455,1455,-5,17500,25621500,28,173.3,1465,1800,1450,1600,2206312500,2206312500,419420006,0,0,6849500,10000270000,1
2025-12-16,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1495,0,1495,1460,1460,-35,7800,11537000,15,173.9,1490,3300,1465,100,2206312500,2206312500,419420006,5700,0,0,0,0
2025-12-15,MYOH,Samindo Resources Tbk.,--UO2135000000A132------------,1495,0,1500,1480,1495,0,6500,9700000,20,178.1,1495,5000,1480,4100,2206312500,2206312500,419420006,900,0,0,0,0
