Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,590,590,715,590,640,50,474300,308188500,378,621.4,645,9600,640,3600,8001111504,8001111504,3357266387,40000,46300,137600000,89440000000,13
2026-03-09,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,625,0,610,590,590,-35,1162700,697909500,73,572.8,610,11200,590,2300,8001111504,8001111504,3357266387,6400,36200,0,0,0
2026-03-06,NATO,Olympus Strategic Indonesia Tbk.,--UO2105000000E512------------,625,0,660,600,625,0,1301300,787288500,131,606.8,625,10100,600,1035100,8001111504,8001111504,3357266387,33300,140300,0,0,0
2026-03-05,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,620,625,655,620,625,5,70400,44594500,93,606.8,625,1200,620,27200,8001111504,8001111504,3357266387,9300,2800,0,0,0
2026-03-04,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,645,655,715,620,620,-25,1715500,1097316500,266,601.9,645,5000,620,516900,8001111504,8001111504,3357266387,103200,136500,0,0,0
2026-03-03,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,635,635,775,635,645,10,1559300,1084327000,836,626.2,655,6600,645,4000,8001111504,8001111504,3357266387,254400,464100,0,0,0
2026-03-02,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,655,650,660,590,635,-20,2050300,1306599500,183,616.5,650,21600,635,299800,8001111504,8001111504,3357266387,231400,112800,0,0,0
2026-02-27,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,655,680,680,640,655,0,1169600,755220500,145,635.9,655,31900,650,1400,8001111504,8001111504,3357266387,105300,27000,0,0,0
2026-02-26,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,655,650,700,650,655,0,364400,243848500,332,635.9,655,5800,650,79400,8001111504,8001111504,3357266387,103700,22200,0,0,0
2026-02-25,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,695,705,710,630,655,-40,1228600,820117500,313,635.9,655,10600,650,600,8001111504,8001111504,3357266387,132700,165800,0,0,0
2026-02-24,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,695,715,770,690,695,0,505500,365375000,538,674.8,695,1600,690,200,8001111504,8001111504,3357266387,108400,17000,0,0,0
2026-02-23,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,730,735,740,660,695,-35,1534100,1060908000,713,674.8,700,5800,695,12100,8001111504,8001111504,3357266387,180300,175100,0,0,0
2026-02-20,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,810,895,945,710,730,-80,2346300,1896717500,1340,708.7,730,25900,715,165200,8001111504,8001111504,3357266387,544700,88300,0,0,0
2026-02-19,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,650,660,810,650,810,160,2971100,2198918000,1685,786.4,0,0,810,854300,8001111504,8001111504,3357266387,715500,350600,0,0,0
2026-02-18,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,680,680,720,615,650,-30,2365300,1557156500,1163,631.1,650,2500,645,400,8001111504,8001111504,3357266387,809600,241300,0,0,0
2026-02-13,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,725,745,775,660,680,-45,850700,597712000,682,660.2,680,6200,675,10600,8001111504,8001111504,3357266387,87700,129300,0,0,0
2026-02-12,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,825,835,870,710,725,-100,2374500,1786533500,1275,703.9,725,4800,720,44600,8001111504,8001111504,3357266387,295400,354300,0,0,0
2026-02-11,NATO,Surya Permata Andalan Tbk.,--UO2105000000E512------------,920,920,1095,825,825,-95,1392800,1282572500,1253,801.0,825,6700,820,206700,8001111504,8001111504,3357266387,166600,75400,0,0,0
2026-02-10,NATO,Surya Permata Andalan Tbk.,--U-4105000000E512-----------X,840,0,920,910,920,80,258600,236803000,117,893.2,920,86500,905,100,8001111504,8001111504,3357266387,0,0,0,0,0
2026-02-09,NATO,Surya Permata Andalan Tbk.,--U-4105000000E512-----------X,900,0,945,830,840,-60,469600,396830500,123,815.5,845,3700,840,233400,8001111504,8001111504,3357266387,0,0,0,0,0
2026-02-06,NATO,Surya Permata Andalan Tbk.,--U-4105000000E512-----------X,900,0,900,900,900,0,650300,585270000,109,873.8,905,2600,900,434300,8001111504,8001111504,3357266387,0,0,0,0,0
