Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,65,0,71,65,71,6,8934000,623974700,550,71.0,0,0,71,273700,2550011472,2550011472,0,167800,283700,0,0,0
2026-03-10,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,63,0,66,63,65,2,3493900,224819900,210,65.0,65,233500,64,30000,2550011472,2550011472,0,592600,1246000,0,0,0
2026-03-09,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,69,0,69,63,63,-6,17513300,1119865000,410,63.0,65,335700,63,2015900,2550011472,2550011472,0,10112100,1434600,0,0,0
2026-03-06,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,70,0,70,67,69,-1,4694400,321474400,209,69.0,69,338200,68,282800,2550011472,2550011472,0,500,1139000,0,0,0
2026-03-05,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,69,0,72,69,70,1,2152100,151431700,192,70.0,71,194200,70,55900,2550011472,2550011472,0,104300,80500,0,0,0
2026-03-04,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,70,0,72,63,69,-1,32094300,2095850000,912,69.0,69,271500,68,50000,2550011472,2550011472,0,10353200,579400,0,0,0
2026-03-03,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,71,0,73,67,70,-1,14927400,1044081700,631,70.0,71,4000,70,88000,2550011472,2550011472,0,5324600,822700,0,0,0
2026-03-02,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,75,0,80,68,71,-4,53986200,3847439000,1681,71.0,72,19100,71,401300,2550011472,2550011472,0,16659000,1824300,0,0,0
2026-02-27,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,69,0,75,69,75,6,14317100,1053807800,695,75.0,0,0,75,4537400,2550011472,2550011472,0,47400,3194700,0,0,0
2026-02-26,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,76,0,78,69,69,-7,91681400,6665270500,2108,69.0,71,129800,69,2712000,2550011472,2550011472,0,44152700,6103800,0,0,0
2026-02-25,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,76,0,80,74,76,0,16219700,1240048600,1127,76.0,78,47300,76,41500,2550011472,2550011472,0,7225900,2702700,0,0,0
2026-02-24,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,84,0,85,76,76,-8,46542900,3716895800,1822,76.0,77,111800,76,1783600,2550011472,2550011472,0,19935800,699700,0,0,0
2026-02-23,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,87,0,89,83,84,-3,13555100,1137743900,805,84.0,85,277200,84,200,2550011472,2550011472,0,6638600,83100,0,0,0
2026-02-20,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,87,0,91,85,87,0,17281800,1504592800,721,87.0,87,220400,86,19100,2550011472,2550011472,0,6586200,219800,0,0,0
2026-02-19,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,85,0,89,84,87,2,23409200,2019170600,838,87.0,87,2600,86,185200,2550011472,2550011472,0,4884200,6644800,0,0,0
2026-02-18,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,86,0,89,82,85,-1,19932300,1690421100,1214,85.0,86,281500,85,657200,2550011472,2550011472,0,3709900,2324600,0,0,0
2026-02-13,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,87,0,89,81,86,-1,18242700,1540997300,1296,86.0,86,300200,85,191200,2550011472,2550011472,0,6705700,624000,0,0,0
2026-02-12,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,88,0,96,84,87,-1,30584900,2747598700,2692,87.0,88,26600,87,14700,2550011472,2550011472,0,11079800,3146100,0,0,0
2026-02-11,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,80,0,88,79,88,8,47617100,4119511700,1843,88.0,0,0,88,347500,2550011472,2550011472,0,435300,10766900,125000000,2937500000,2
2026-02-10,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,81,0,84,76,80,-1,14705700,1184539400,1070,80.0,80,597600,79,58700,2550011472,2550011472,0,962700,1154200,0,0,0
2026-02-09,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,77,0,83,71,81,4,24958000,1908145300,1990,81.0,81,77800,80,367500,2550011472,2550011472,0,61400,7736000,0,0,0
2026-02-06,NAYZ,Hassana Boga Sejahtera Tbk.,--U-3000000000D222------------,80,0,88,77,77,-3,51563000,4264281100,3982,77.0,77,3555600,76,626900,2550011472,2550011472,0,7103400,2670700,0,0,0
