Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,372,370,370,350,354,-18,1955200,697768400,282,100.4,362,40000,354,136600,15732874458,15732874458,1345160766,85400,66600,0,0,0
2026-03-06,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,382,0,384,372,372,-10,493600,185467400,149,105.5,380,4500,372,41600,15732874458,15732874458,1345160766,500,10000,0,0,0
2026-03-05,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,380,378,392,378,382,2,648000,247963800,109,108.3,384,10600,382,20700,15732874458,15732874458,1345160766,63400,202100,0,0,0
2026-03-04,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,388,388,392,370,380,-8,2075400,784718600,311,107.7,380,60400,378,1000,15732874458,15732874458,1345160766,33800,35800,0,0,0
2026-03-03,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,384,384,396,378,388,4,938300,363647000,273,110.0,390,29400,388,16300,15732874458,15732874458,1345160766,22300,11900,0,0,0
2026-03-02,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,388,388,390,372,384,-4,1778200,677967200,457,108.9,386,75200,382,100,15732874458,15732874458,1345160766,14000,79600,0,0,0
2026-02-27,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,388,390,400,380,388,0,935700,362038600,300,110.0,388,11700,386,32900,15732874458,15732874458,1345160766,33500,195000,0,0,0
2026-02-26,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,400,400,410,388,388,-12,1565500,618736200,291,110.0,388,115800,386,35900,15732874458,15732874458,1345160766,455500,202600,0,0,0
2026-02-25,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,394,402,406,396,400,6,1235300,494884600,205,113.4,400,36600,398,90100,15732874458,15732874458,1345160766,1900,217100,0,0,0
2026-02-24,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,402,410,410,390,394,-8,1600400,639785600,279,111.7,396,6000,394,59100,15732874458,15732874458,1345160766,201300,107800,0,0,0
2026-02-23,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,400,400,410,394,402,2,1009800,405732600,318,114.0,404,25800,402,61200,15732874458,15732874458,1345160766,20900,75800,0,0,0
2026-02-20,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,402,406,410,396,400,-2,1451900,583045400,471,113.4,400,106700,398,49800,15732874458,15732874458,1345160766,254400,112000,0,0,0
2026-02-19,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,382,0,416,382,402,20,4924400,1985216600,1179,114.0,402,4600,400,14500,15732874458,15732874458,1345160766,393100,751800,0,0,0
2026-02-18,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,382,382,390,382,382,0,1102200,422692200,302,108.3,386,65500,382,72400,15732874458,15732874458,1345160766,41000,337000,0,0,0
2026-02-13,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,380,376,382,376,382,2,591100,224162200,219,108.3,384,100,382,8700,15732874458,15732874458,1345160766,102300,20300,0,0,0
2026-02-12,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,378,380,382,376,380,2,501200,189981600,159,107.7,382,409900,380,29300,15732874458,15732874458,1345160766,7800,128400,0,0,0
2026-02-11,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,376,390,390,374,378,2,937400,356180400,255,107.2,380,105100,378,49500,15732874458,15732874458,1345160766,32000,63000,0,0,0
2026-02-10,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,374,368,390,368,376,2,1679100,642557000,488,106.6,380,46800,376,28900,15732874458,15732874458,1345160766,46400,690900,0,0,0
2026-02-09,PALM,Provident Investasi Bersama Tbk.,--UO2135000000G512------------,368,368,374,362,374,6,1082000,400131200,315,106.0,374,24400,368,2100,15732874458,15732874458,1345160766,16300,95800,0,0,0
