Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,57,55,56,50,52,-5,6188900,323365800,409,52.0,53,8400,52,245800,3125000000,625000000,892500000,370300,0,0,0,0
2026-03-06,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,59,59,59,57,57,-2,2826400,161379200,142,57.0,58,1294200,57,87300,3125000000,625000000,892500000,0,0,0,0,0
2026-03-05,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,57,57,60,57,59,2,4372300,254214700,281,59.0,59,247300,58,750000,3125000000,625000000,892500000,0,0,0,0,0
2026-03-04,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,62,63,63,55,57,-5,20967400,1219461300,820,57.0,57,484900,56,791200,3125000000,625000000,892500000,795200,1092000,0,0,0
2026-03-03,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,63,63,65,61,62,-1,9507300,596114300,323,62.0,63,620700,62,741100,3125000000,625000000,892500000,603500,2270900,0,0,0
2026-03-02,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,69,61,66,61,63,-6,17194900,1075074100,679,63.0,63,2640400,62,60000,3125000000,625000000,892500000,0,2281000,0,0,0
2026-02-27,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,70,70,72,66,69,-1,11906400,826964900,1287,69.0,70,131400,69,109200,3125000000,625000000,892500000,2156300,545000,0,0,0
2026-02-26,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,66,65,74,64,70,4,78515500,5540112100,3633,70.0,71,1065300,70,1219200,3125000000,625000000,892500000,6510500,5455900,0,0,0
2026-02-25,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,64,63,67,62,66,2,6721900,436771200,553,66.0,66,1655000,65,98600,3125000000,625000000,892500000,23800,25600,0,0,0
2026-02-24,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,67,67,68,63,64,-3,11671100,762356700,519,64.0,65,669800,64,800600,3125000000,625000000,892500000,38100,128900,0,0,0
2026-02-23,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,65,64,69,63,67,2,11420200,767374000,917,67.0,67,402500,66,1432200,3125000000,625000000,892500000,659300,1700,0,0,0
2026-02-20,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,66,66,67,64,65,-1,4233900,276309100,369,65.0,65,234700,64,1435900,3125000000,625000000,892500000,0,0,0,0,0
2026-02-19,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,68,68,68,65,66,-2,6110100,405449800,634,66.0,66,96000,65,489800,3125000000,625000000,892500000,20900,838800,0,0,0
2026-02-18,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,63,64,71,63,68,5,37699900,2562588800,2748,68.0,68,1060300,67,356200,3125000000,625000000,892500000,4251600,1057900,0,0,0
2026-02-13,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,64,64,64,63,63,-1,3830600,242597900,201,63.0,64,1022900,63,734900,3125000000,625000000,892500000,0,0,0,0,0
2026-02-12,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,64,65,65,63,64,0,3064700,194924100,373,64.0,64,942500,63,736400,3125000000,625000000,892500000,0,0,0,0,0
2026-02-11,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,63,63,65,62,64,1,6656800,423926600,314,64.0,65,417700,64,525000,3125000000,625000000,892500000,15900,2502700,0,0,0
2026-02-10,PAMG,Bima Sakti Pertiwi Tbk.,--UO2130000000H111------------,62,62,64,61,63,1,2645100,164357400,311,63.0,63,1170000,62,902800,3125000000,625000000,892500000,27200,141200,0,0,0
