Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,85,0,93,86,86,1,13080200,1176406800,565,63.7,86,697000,85,5500,3351075600,3351075600,535836988,0,0,0,0,0
2026-03-09,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,94,0,85,85,85,-9,257300,21870500,27,63.0,85,9861600,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-03-06,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,104,0,94,94,94,-10,361200,33952800,61,69.6,94,12541400,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-03-05,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,115,0,104,104,104,-11,3182200,330948800,245,77.0,104,8703800,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-03-04,POLA,Pool Advista Finance Tbk.,--UO2100000000G211------------,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,100000,12500000,1
2026-03-03,POLA,Pool Advista Finance Tbk.,--UO2100000000G211------------,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-03-02,POLA,Pool Advista Finance Tbk.,--UO2100000000G211------------,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,29100,3055500,1
2026-02-27,POLA,Pool Advista Finance Tbk.,--UO2100000000G211------------,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-26,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-25,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-24,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-23,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,115,0,0,0,115,0,0,0,0,85.2,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-20,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,105,0,115,115,115,10,7373500,847952500,465,85.2,0,0,115,1100,3351075600,3351075600,535836988,0,100,0,0,0
2026-02-19,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,98,0,105,101,105,7,3557300,367739100,250,77.8,105,291500,101,47900,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-18,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,95,0,102,98,98,3,5853600,576632400,258,72.6,100,3900,98,576100,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-13,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,89,0,95,91,95,6,1598900,149948300,107,70.4,95,137800,93,980000,3351075600,3351075600,535836988,6000,0,0,0,0
2026-02-12,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,91,0,91,85,89,-2,1582800,136886200,96,65.9,89,140900,88,21000,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-11,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,92,0,92,91,91,-1,1195800,109392100,122,67.4,91,190100,90,1100,3351075600,3351075600,535836988,10700,0,0,0,0
2026-02-10,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,89,0,92,90,92,3,2346800,212541600,182,68.1,92,69000,90,10000,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-09,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,86,0,89,86,89,3,1035100,91332400,107,65.9,89,217400,88,200,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-06,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,90,0,90,84,86,-4,1830400,158943200,113,63.7,87,86200,86,1900,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-05,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,82,0,90,88,90,8,3117900,280336400,163,66.7,90,2260500,88,18500,3351075600,3351075600,535836988,126500,0,0,0,0
2026-02-04,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,82,0,86,82,82,0,1173100,99683400,109,60.7,86,356000,82,105700,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-03,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,75,0,82,80,82,7,2263800,184454400,249,60.7,0,0,82,5400,3351075600,3351075600,535836988,0,0,0,0,0
2026-02-02,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,83,0,82,75,75,-8,5303600,415357800,162,55.6,76,50800,75,68600,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-30,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,76,0,83,83,83,7,1230100,102098300,60,61.5,0,0,83,848200,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-29,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,76,0,76,69,76,0,5104600,364579400,188,56.3,76,4180700,74,1000,3351075600,3351075600,535836988,0,81400,0,0,0
2026-01-28,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,84,0,84,76,76,-8,4067700,310570000,222,56.3,77,125000,76,168000,3351075600,3351075600,535836988,0,150000,0,0,0
2026-01-27,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,83,0,84,77,84,1,3786700,300557800,209,62.2,88,300,84,9800,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-26,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,90,0,92,83,83,-7,1732700,149670700,168,61.5,85,12600,82,40200,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-23,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,91,0,90,83,90,-1,7566200,633780300,259,66.7,90,594500,86,10000,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-22,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,101,0,110,91,91,-10,11242400,1117815300,347,67.4,94,5000,0,0,3351075600,3351075600,535836988,0,100000,0,0,0
2026-01-21,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,92,0,101,93,101,9,14476400,1405242000,390,74.8,0,0,101,194500,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-20,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,101,0,111,92,92,-9,17423000,1768001500,768,68.1,92,800,91,725700,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-19,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,101,0,0,0,101,0,0,0,0,74.8,0,0,0,0,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-15,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,92,0,101,101,101,9,9423100,951733100,365,74.8,101,8700,100,1100,3351075600,3351075600,535836988,0,1862000,0,0,0
2026-01-14,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,84,0,92,92,92,8,7365500,677626000,301,68.1,0,0,92,4988900,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-13,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,77,0,84,76,84,7,21370000,1753732200,534,62.2,0,0,84,645100,3351075600,3351075600,535836988,0,0,0,0,0
2026-01-12,POLA,Pool Advista Finance Tbk.,--U-4100000000G211-----------X,70,0,77,77,77,7,3051400,234957800,106,57.0,0,0,77,9853900,3351075600,3351075600,535836988,0,0,0,0,0
