Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2460,2460,2470,2430,2450,-10,80500,197466000,120,37.7,2460,5300,2450,2200,937500000,937500000,214781250,14800,200,0,0,0
2026-03-11,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2450,2450,2540,2450,2460,10,324600,807344000,280,37.8,2460,200,2450,9300,937500000,937500000,214781250,67300,92100,40963800,101876970600,5
2026-03-10,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2420,2420,2460,2420,2450,30,141400,343784000,108,37.7,2450,13500,2440,100,937500000,937500000,214781250,14000,8700,0,0,0
2026-03-09,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2500,2500,2500,2390,2420,-80,1157800,2778493000,432,37.2,2430,4700,2420,6200,937500000,937500000,214781250,121000,484400,0,0,0
2026-03-06,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2580,2580,2580,2490,2500,-80,1052900,2658092000,452,38.5,2510,33600,2500,268200,937500000,937500000,214781250,0,20000,0,0,0
2026-03-05,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2400,2400,2600,2400,2580,180,1617900,4066793000,932,39.7,2590,4200,2580,1000,937500000,937500000,214781250,157700,326200,12078800,30316523000,8
2026-03-04,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2440,2440,2440,2390,2400,-40,503200,1211993000,214,36.9,2400,15100,2390,261600,937500000,937500000,214781250,22900,374700,0,0,0
2026-03-03,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2390,2390,2440,2390,2440,50,344400,833967000,141,37.5,2450,43800,2430,2400,937500000,937500000,214781250,9300,133400,0,0,0
2026-03-02,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2420,2400,2420,2370,2390,-30,553800,1324997000,209,36.8,2400,600,2390,321800,937500000,937500000,214781250,0,415800,0,0,0
2026-02-27,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2400,2400,2420,2390,2420,20,102300,245688000,75,37.2,2420,10300,2410,100,937500000,937500000,214781250,0,75700,0,0,0
2026-02-26,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2410,2410,2420,2400,2400,-10,121200,291473000,70,36.9,2400,18500,2390,726100,937500000,937500000,214781250,0,400,0,0,0
2026-02-25,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2400,0,2420,2390,2410,10,131400,315662000,88,37.1,2410,34800,2400,1600,937500000,937500000,214781250,0,61400,0,0,0
2026-02-24,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2400,2390,2430,2390,2400,0,350800,841921000,76,36.9,2400,35300,2390,155700,937500000,937500000,214781250,0,181000,0,0,0
2026-02-23,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2410,2410,2420,2390,2400,-10,349500,840209000,145,36.9,2400,7500,2390,577200,937500000,937500000,214781250,12700,160300,0,0,0
2026-02-20,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2430,2440,2440,2410,2410,-20,129500,313350000,218,37.1,2430,70100,2410,32900,937500000,937500000,214781250,55700,0,0,0,0
2026-02-19,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2430,2430,2460,2410,2430,0,408400,999187000,184,37.4,2440,8300,2430,400,937500000,937500000,214781250,14900,7900,0,0,0
2026-02-18,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2390,2390,2430,2390,2430,40,245800,593421000,96,37.4,2430,309900,2400,20800,937500000,937500000,214781250,11800,81100,0,0,0
2026-02-13,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2410,2400,2400,2390,2390,-20,64900,155312000,93,36.8,2390,17400,2380,117500,937500000,937500000,214781250,1000,0,0,0,0
2026-02-12,PRDA,Prodia Widyahusada Tbk.,--UO1135000000F121------------,2400,2400,2410,2390,2410,10,50500,121334000,66,37.1,2410,5000,2400,20400,937500000,937500000,214781250,700,9500,0,0,0
