Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,950,950,950,900,925,-25,7504800,7037333000,364,102.8,925,18700,920,100,1482353000,1482353000,211087067,1491000,355400,0,0,0
2026-03-11,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,925,925,950,920,950,25,2607200,2473285000,140,105.6,950,104500,940,100,1482353000,1482353000,211087067,15700,25400,0,0,0
2026-03-10,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,870,855,985,855,925,55,11956200,11278568500,578,102.8,930,22700,925,37200,1482353000,1482353000,211087067,217500,591900,0,0,0
2026-03-09,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,940,900,905,835,870,-70,666900,577110000,456,96.7,875,100,855,500,1482353000,1482353000,211087067,217400,117000,0,0,0
2026-03-06,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,950,965,965,930,940,-10,97300,91451000,119,104.4,940,8800,935,1200,1482353000,1482353000,211087067,22600,6600,0,0,0
2026-03-05,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,950,955,995,945,950,0,11987500,11616900000,425,105.6,955,23700,950,24100,1482353000,1482353000,211087067,525800,1057400,0,0,0
2026-03-04,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,970,970,970,900,950,-20,10725200,10084858000,696,105.6,945,1100,940,200,1482353000,1482353000,211087067,211000,978000,0,0,0
2026-03-03,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,970,965,995,955,970,0,7016400,6819808000,421,107.8,970,41100,960,19100,1482353000,1482353000,211087067,179100,504100,0,0,0
2026-03-02,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1015,1000,1000,950,970,-45,9950600,9609956000,637,107.8,975,3000,970,600,1482353000,222353000,211087067,498200,907100,0,0,0
2026-02-27,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1015,1015,1015,975,1015,0,298000,297269500,198,112.8,1020,4800,1015,53600,1482353000,222353000,211087067,71100,73100,0,0,0
2026-02-26,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1030,0,1040,1005,1015,-15,216300,220734500,153,112.8,1015,11800,1005,26700,1482353000,222353000,211087067,87700,39300,0,0,0
2026-02-25,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1035,1050,1050,1010,1030,-5,7497700,7745296500,325,114.4,1035,200,1030,7300,1482353000,222353000,211087067,845200,549700,0,0,0
2026-02-24,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1045,1050,1065,1005,1035,-10,5974800,6055006500,940,115.0,1035,18600,1020,100,1482353000,222353000,211087067,39000,388700,0,0,0
2026-02-23,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1050,1075,1075,1040,1045,-5,314200,330592500,225,116.1,1055,500,1045,1500,1482353000,222353000,211087067,18200,31700,0,0,0
2026-02-20,PSAT,Pancaran Samudera Transport Tbk.,--UO1130000000A122------------,1060,1065,1075,1030,1050,-10,6080500,6400883500,249,116.7,1050,7900,1045,100,1482353000,222353000,211087067,167400,108100,0,0,0
