Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,310,312,318,308,310,0,3255400,1013831600,477,58.3,312,312600,310,301600,6199897354,6199897354,2921391633,626500,247100,0,0,0
2026-03-10,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,308,308,316,304,310,2,7466000,2314283000,693,58.3,310,24100,308,440600,6199897354,6199897354,2921391633,1965500,1062400,100,31000,2
2026-03-09,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,332,320,320,300,308,-24,13366600,4161370200,1211,57.9,310,2200,308,187600,6199897354,6199897354,2921391633,3674900,2742600,0,0,0
2026-03-06,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,326,326,338,314,332,6,14734000,4793373200,965,62.4,334,71100,332,115000,6199897354,6199897354,2921391633,2657800,2023300,0,0,0
2026-03-05,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,318,320,328,320,326,8,5900100,1918681000,522,61.3,326,146000,324,581700,6199897354,6199897354,2921391633,1017100,902100,0,0,0
2026-03-04,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,338,340,340,310,318,-20,30535400,9888707600,2047,59.8,320,249000,318,310800,6199897354,6199897354,2921391633,6519800,8369900,0,0,0
2026-03-03,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,340,346,352,332,338,-2,21541500,7400883400,1599,63.5,340,304700,338,183200,6199897354,6199897354,2921391633,7889300,1555700,0,0,0
2026-03-02,PTPP,PP (Persero) Tbk.,--UO1139K51000J211M-----------,352,348,352,328,340,-12,30058600,10190062200,1754,63.9,342,18700,340,353900,6199897354,6199897354,2921391633,6213400,4896500,0,0,0
2026-02-27,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,358,358,358,348,352,-6,11994500,4223986000,1145,66.2,354,273700,352,343900,6199897354,6199897354,2921391633,934100,2124900,7553,2643762,2
2026-02-26,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,366,366,372,354,358,-8,22259300,8029827200,1629,67.3,360,249100,358,377400,6199897354,6199897354,2921391633,2619300,3975100,0,0,0
2026-02-25,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,374,378,382,364,366,-8,35767100,13266664200,3687,68.8,368,171600,366,94600,6199897354,6199897354,2921391633,11332500,2281200,0,0,0
2026-02-24,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,350,352,382,348,374,24,86415900,31726590000,5822,70.3,376,122000,372,160400,6199897354,6199897354,2921391633,11466200,16061400,0,0,0
2026-02-23,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,350,350,354,344,350,0,6307100,2202993000,876,65.8,352,237300,350,213700,6199897354,6199897354,2921391633,1312600,719400,0,0,0
2026-02-20,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,348,348,356,346,350,2,13896700,4866816800,758,65.8,352,45800,350,978600,6199897354,6199897354,2921391633,3165500,883100,0,0,0
2026-02-19,PTPP,PP (Persero) Tbk.,--MO1139K51000J211M-----------,354,354,354,348,348,-6,9275000,3249313600,1037,65.4,350,26400,348,891200,6199897354,6199897354,2921391633,931900,1144100,0,0,0
2026-02-18,PTPP,PP (Persero) Tbk.,--MO1139K51000J211------------,354,350,362,350,354,0,12536500,4464994400,1075,66.5,356,229900,354,93500,6199897354,6199897354,2921391633,2394800,1939700,0,0,0
