Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,PTRO,Petrosea Tbk.,--MO1804500000A132------------,4990,5325,5750,4950,5100,110,164815100,873049955500,56889,40875.2,5125,135500,5100,932500,10086050000,10086050000,2768620725,47397200,11399500,713462,4260306025,5
2026-03-09,PTRO,Petrosea Tbk.,--MO1804500000A132------------,4960,4470,5350,4250,4990,30,153318900,737821640500,49084,39993.6,5000,185700,4990,108200,10086050000,10086050000,2768620725,34580100,63069000,681000,3575250000,4
2026-03-06,PTRO,Petrosea Tbk.,--MO1804500000A132------------,5225,5200,5225,4890,4960,-265,129856000,652558568000,36038,39753.1,4970,2600,4960,1534200,10086050000,10086050000,2768620725,38180600,44334500,2590000,15221500000,5
2026-03-05,PTRO,Petrosea Tbk.,--MO1804500000A132------------,5300,5700,5750,5225,5225,-75,76019300,413222410000,26915,41877.1,5250,512200,5225,1123400,10086050000,10086050000,2768620725,19550600,10996100,864767,4693094225,5
2026-03-04,PTRO,Petrosea Tbk.,--MO1804500000A132------------,5825,5725,5850,5175,5300,-525,91357400,495918192500,35379,42478.2,5300,638700,5275,91500,10086050000,10086050000,2768620725,12924300,29130400,533300,3519880000,4
2026-03-03,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6000,6275,6375,5600,5825,-175,95915100,567294337500,41894,46685.9,5850,530800,5825,16600,10086050000,10086050000,2768620725,22727800,14095300,462825,3317290000,8
2026-03-02,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6125,5725,6150,5625,6000,-125,69686600,418919442500,23596,48088.5,6000,1834600,5975,330300,10086050000,10086050000,2768620725,12426400,36844400,368025,2718001250,5
2026-02-27,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6300,6275,6375,5900,6125,-175,106486100,654979892500,24164,49090.3,6150,591700,6125,674700,10086050000,10086050000,2768620725,65826800,46175900,342449,2301228125,4
2026-02-26,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6775,6825,6875,6125,6300,-475,84240700,540482565000,41973,50492.9,6325,326300,6300,6700,10086050000,10086050000,2768620725,12798500,12015500,578838,4012245350,9
2026-02-25,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6650,6725,6850,6350,6775,125,82122500,543041022500,37481,54299.9,6775,499600,6750,118400,10086050000,10086050000,2768620725,10320200,17958000,230700,2244065000,3
2026-02-24,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7125,7175,7200,6500,6650,-475,130424400,886706552500,67887,53298.1,6650,1016300,6625,472200,10086050000,10086050000,2768620725,12857700,12086900,430849,3245899800,5
2026-02-23,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7075,7250,7375,7075,7125,50,57965000,416878887500,28256,57105.1,7125,279400,7100,536600,10086050000,10086050000,2768620725,7607000,7244600,71349,552085925,8
2026-02-20,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7325,7350,7450,7050,7075,-250,59855200,426975902500,31410,56704.3,7100,392900,7075,1067800,10086050000,10086050000,2768620725,6266400,10377500,268050,1961046250,7
2026-02-19,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7575,7625,7700,7250,7325,-250,61414900,454849212500,34593,58708.0,7350,34200,7325,142100,10086050000,10086050000,2768620725,9047500,3572600,30795,279305500,2
2026-02-18,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7450,7700,8050,7500,7575,125,94072500,727489237500,41287,60711.7,7600,338200,7575,46000,10086050000,10086050000,2768620725,22155900,7930500,257098,2508052150,3
2026-02-13,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7325,7325,7625,7025,7450,125,88749800,657235810000,38282,59709.9,7475,241100,7450,70300,10086050000,10086050000,2768620725,13411500,7739800,581060,3646948500,5
2026-02-12,PTRO,Petrosea Tbk.,--MO1804500000A132------------,7125,7300,7850,7150,7325,200,189801000,1414803122500,74561,58708.0,7350,35800,7325,223500,10086050000,10086050000,2768620725,52071500,18622400,191,1388075,3
2026-02-11,PTRO,Petrosea Tbk.,--MO1804500000A132------------,5975,6075,7150,6075,7125,1150,235537400,1619075445000,77309,57105.1,7150,2653200,7125,55500,10086050000,10086050000,2768620725,27989000,50240600,477975,3265604375,4
2026-02-10,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6025,5875,6300,5875,5975,-50,52422300,319800445000,22778,47888.1,6000,76000,5975,333700,10086050000,10086050000,2768620725,18815800,12308000,27,162000,1
2026-02-09,PTRO,Petrosea Tbk.,--MO1804500000A132------------,5725,5825,6050,5550,6025,300,53057200,310063697500,19916,48288.9,6025,19800,6000,257300,10086050000,10086050000,2768620725,11013400,13097900,819000,5920150000,4
2026-02-06,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6125,5900,6125,5525,5725,-400,69893300,406179087500,29889,45884.4,5725,115500,5700,243800,10086050000,10086050000,2768620725,19447400,13908300,1577,8102375,2
2026-02-05,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6100,6175,6750,6125,6125,25,93564700,601934720000,36524,49090.3,6150,36500,6125,2541500,10086050000,10086050000,2768620725,17021900,21448000,1251600,7695145000,5
2026-02-04,PTRO,Petrosea Tbk.,--MO1804500000A132------------,6150,6175,6450,5825,6100,-50,74999700,460392722500,28583,48890.0,6100,150700,6075,212600,10086050000,10086050000,2768620725,26556200,15866500,738720,5429504500,2
2026-02-03,PTRO,Petrosea Tbk.,--MO180F900000A132------------,6000,5550,6375,5200,6150,150,161637400,958847895000,57027,49290.7,6175,220900,6150,355700,10086050000,10086050000,2768620725,37159300,47546000,335227,2999558310,5
2026-02-02,PTRO,Petrosea Tbk.,--MO180F900000A132------------,7050,7075,7100,6000,6000,-1050,109633700,671816262500,36830,48088.5,6000,13888800,0,0,10086050000,10086050000,2768620725,15874200,21063100,194625,1564870625,3
