Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,350,354,366,332,346,-4,2338300,830542000,266,179.0,348,102900,344,9000,5314344000,5314344000,531434400,9500,4800,0,0,0
2026-03-10,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,338,344,350,344,350,12,1529100,533206000,167,181.0,350,2256600,348,71700,5314344000,5314344000,531434400,0,10000,0,0,0
2026-03-09,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,364,334,370,324,338,-26,2120500,710129400,237,174.8,340,10400,338,3400,5314344000,5314344000,531434400,2700,74500,0,0,0
2026-03-06,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,376,376,378,364,364,-12,433300,160260200,112,188.3,370,10400,364,62500,5314344000,5314344000,531434400,1000,1100,0,0,0
2026-03-05,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,368,0,376,370,376,8,925700,346124600,116,194.5,376,210500,374,700,5314344000,5314344000,531434400,100,500,0,0,0
2026-03-04,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,400,392,392,350,368,-32,2192900,807563800,408,190.3,368,81000,366,94100,5314344000,5314344000,531434400,77300,97200,0,0,0
2026-03-03,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,388,388,404,384,400,12,507500,199542200,141,206.9,400,29200,396,10000,5314344000,5314344000,531434400,59700,52200,0,0,0
2026-03-02,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,400,390,398,380,388,-12,2173300,848336800,249,200.7,388,169200,386,76300,5314344000,5314344000,531434400,78600,146500,0,0,0
2026-02-27,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,394,404,404,386,400,6,390200,154174600,139,206.9,400,66800,396,6300,5314344000,5314344000,531434400,2200,11200,0,0,0
2026-02-26,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,402,400,402,392,394,-8,905700,358056200,269,203.8,398,58400,394,13400,5314344000,5314344000,531434400,0,50900,0,0,0
2026-02-25,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,402,410,412,400,402,0,864300,348912800,225,207.9,404,10300,402,600,5314344000,5314344000,531434400,226500,3100,0,0,0
2026-02-24,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,406,406,410,390,402,-4,784100,312681600,316,207.9,402,31400,396,5500,5314344000,5314344000,531434400,80100,3000,0,0,0
2026-02-23,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,404,406,410,400,406,2,1622600,657909800,400,210.0,406,8900,400,200,5314344000,5314344000,531434400,230800,2800,0,0,0
2026-02-20,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,392,392,406,388,404,12,1031400,413204200,235,209.0,404,161100,400,13900,5314344000,5314344000,531434400,13700,1200,0,0,0
2026-02-19,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,392,392,392,384,392,0,259200,100739200,142,202.8,392,66600,388,43000,5314344000,5314344000,531434400,1600,800,0,0,0
2026-02-18,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,398,398,398,390,392,-6,581300,228810000,179,202.8,394,700,392,17500,5314344000,5314344000,531434400,14800,1200,0,0,0
2026-02-13,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,404,406,406,396,398,-6,250500,99891200,138,205.9,398,3000,396,6500,5314344000,5314344000,531434400,1500,500,0,0,0
2026-02-12,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,398,392,412,386,404,6,1769500,708509400,398,209.0,404,15200,402,25100,5314344000,5314344000,531434400,4100,5100,0,0,0
2026-02-11,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,404,406,410,384,398,-6,2182100,881198000,484,205.9,400,9600,398,77000,5314344000,5314344000,531434400,4700,4200,0,0,0
2026-02-10,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,388,388,406,386,404,16,2227800,891104600,492,209.0,404,46600,402,18700,5314344000,5314344000,531434400,1300,1300,0,0,0
2026-02-09,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,366,368,390,364,388,22,1677100,639266400,485,200.7,388,115200,386,192000,5314344000,5314344000,531434400,1900,121900,0,0,0
2026-02-06,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,360,360,368,342,366,6,1078900,385263400,250,189.3,366,9200,362,9500,5314344000,5314344000,531434400,6500,4000,0,0,0
2026-02-05,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,350,350,362,336,360,10,754100,266543400,229,186.2,362,43500,360,80400,5314344000,5314344000,531434400,10600,3000,0,0,0
2026-02-04,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,332,332,372,330,350,18,697000,236829400,211,181.0,352,9700,350,16100,5314344000,5314344000,531434400,2000,2600,0,0,0
2026-02-03,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,314,300,338,300,332,18,829800,271615000,273,171.7,334,45200,328,1000,5314344000,5314344000,531434400,6000,32000,0,0,0
2026-02-02,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,346,346,346,312,314,-32,997900,326272600,386,162.4,314,2600,312,8700,5314344000,5314344000,531434400,43900,8300,0,0,0
2026-01-30,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,332,350,350,332,346,14,1736800,584440600,258,179.0,346,126800,344,44200,5314344000,5314344000,531434400,0,0,0,0,0
2026-01-29,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,344,348,348,294,332,-12,3408900,1062792600,487,171.7,332,14000,328,10000,5314344000,5314344000,531434400,53200,115500,0,0,0
2026-01-28,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,376,382,382,332,344,-32,2524100,893079800,623,177.9,348,7500,344,4600,5314344000,5314344000,531434400,0,268700,0,0,0
2026-01-27,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,376,374,376,368,376,0,398500,148328400,188,194.5,376,50700,374,14000,5314344000,5314344000,531434400,36000,0,0,0,0
2026-01-26,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,384,384,386,370,376,-8,1529800,575434200,412,194.5,378,100,376,5700,5314344000,5314344000,531434400,4800,0,0,0,0
2026-01-23,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,388,390,396,380,384,-4,665700,254507800,285,198.6,384,132700,382,43600,5314344000,5314344000,531434400,32400,0,0,0,0
2026-01-22,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,384,390,396,382,388,4,510000,197317400,254,200.7,390,5000,388,7900,5314344000,5314344000,531434400,50000,0,0,0,0
2026-01-21,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,392,394,400,380,384,-8,871000,334962600,356,198.6,386,12200,384,15000,5314344000,5314344000,531434400,50000,0,0,0,0
2026-01-20,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,390,400,400,388,392,2,901100,355092600,321,202.8,392,16000,390,197200,5314344000,5314344000,531434400,50000,0,0,0,0
2026-01-19,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,384,384,394,374,390,6,1771500,678304800,494,201.7,390,28500,388,4100,5314344000,5314344000,531434400,72800,271000,0,0,0
2026-01-15,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,384,384,398,380,384,0,1302200,503634000,532,198.6,388,3700,384,47100,5314344000,5314344000,531434400,93300,0,0,0,0
2026-01-14,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,398,402,404,372,384,-14,2294900,886508400,698,198.6,386,2800,384,74700,5314344000,5314344000,531434400,98600,439300,0,0,0
2026-01-13,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,390,422,424,392,398,8,4612100,1866586800,1149,205.9,400,81700,398,22200,5314344000,5314344000,531434400,69200,56000,0,0,0
2026-01-12,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,360,424,450,386,390,30,31095400,13308776600,6561,201.7,390,10400,388,89400,5314344000,5314344000,531434400,1486200,498200,0,0,0
2026-01-09,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,364,362,364,358,360,-4,476900,171909200,217,186.2,364,214100,360,198800,5314344000,5314344000,531434400,105800,0,0,0,0
2026-01-08,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,362,360,366,360,364,2,689100,249865600,186,188.3,364,26100,362,12300,5314344000,5314344000,531434400,113000,0,0,0,0
2026-01-07,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,362,362,366,358,362,0,575000,207334800,209,187.2,364,12000,360,170000,5314344000,5314344000,531434400,68800,0,0,0,0
2026-01-06,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,362,362,362,356,362,0,455400,163559800,193,187.2,362,112500,360,16900,5314344000,5314344000,531434400,3400,0,0,0,0
2026-01-05,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,364,362,366,358,362,-2,873700,315133800,301,187.2,362,115500,360,33200,5314344000,5314344000,531434400,0,0,0,0,0
2026-01-02,PTSN,Sat Nusapersada Tbk,--MO2135000000I211------------,368,368,370,362,364,-4,566800,207170200,173,188.3,364,10400,362,145000,5314344000,5314344000,531434400,0,100500,0,0,0
2025-12-30,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,366,368,370,362,368,2,501700,183049400,133,190.3,368,26300,364,10000,5314344000,5314344000,531434400,0,1500,0,0,0
2025-12-29,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,366,366,372,356,366,0,622400,226582000,191,189.3,366,29800,364,100900,5314344000,5314344000,531434400,50000,60000,0,0,0
2025-12-24,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,366,370,372,354,366,0,1366200,498835400,225,189.3,368,31500,364,1000,5314344000,5314344000,531434400,5400,100000,0,0,0
2025-12-23,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,362,364,372,360,366,4,1186000,434082000,162,189.3,366,172400,364,72800,5314344000,5314344000,531434400,0,0,0,0,0
2025-12-22,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,364,370,372,362,362,-2,549200,200207000,177,187.2,364,2000,362,179200,5314344000,5314344000,531434400,26200,0,0,0,0
2025-12-19,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,368,370,370,362,364,-4,593500,216155600,164,188.3,366,591200,364,10300,5314344000,5314344000,531434400,72700,0,0,0,0
2025-12-18,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,368,368,374,364,368,0,524700,193140800,170,190.3,368,246100,364,28200,5314344000,5314344000,531434400,188300,7800,0,0,0
2025-12-17,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,362,368,372,366,368,6,515200,190393200,147,190.3,372,635300,368,16500,5314344000,5314344000,531434400,0,100000,0,0,0
2025-12-16,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,372,372,380,360,362,-10,1627700,591785000,275,187.2,364,500,362,29400,5314344000,5314344000,531434400,27900,0,0,0,0
2025-12-15,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,368,374,380,366,372,4,1187200,441343800,277,192.4,374,2300,370,22000,5314344000,5314344000,531434400,0,9000,0,0,0
2025-12-12,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,370,370,372,364,368,-2,1026700,376289800,216,190.3,370,13000,368,77800,5314344000,5314344000,531434400,36100,0,0,0,0
2025-12-11,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,372,372,378,368,370,-2,759000,281345200,231,191.4,372,10000,370,3900,5314344000,5314344000,531434400,100,40000,0,0,0
2025-12-10,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,372,374,380,370,372,0,1439100,538514400,252,192.4,372,28800,370,354200,5314344000,5314344000,531434400,0,0,0,0,0
2025-12-09,PTSN,Sat Nusapersada Tbk,--UO2135000000I211------------,374,374,378,372,372,-2,653500,244611200,230,192.4,374,13200,372,86000,5314344000,5314344000,531434400,0,0,0,0,0
