Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,288,0,320,282,302,14,53400,15937800,75,75.3,302,1000,294,2300,659120000,659120000,64593760,200,0,0,0,0
2026-03-09,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,316,0,312,270,288,-28,379900,106730800,193,71.8,286,4800,282,13000,659120000,659120000,64593760,1300,0,0,0,0
2026-03-06,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,320,334,334,300,316,-4,1605700,504706400,243,78.8,316,25300,306,2000,659120000,659120000,64593760,96300,0,0,0,0
2026-03-05,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,300,0,348,302,320,20,1579000,512436800,417,79.8,334,3000,320,7600,659120000,659120000,64593760,37800,0,0,0,0
2026-03-04,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,320,320,350,300,300,-20,2053600,650488600,255,74.8,318,12200,300,9800,659120000,659120000,64593760,0,0,0,0,0
2026-03-03,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,358,0,358,316,320,-38,841700,283002000,276,79.8,326,1000,320,700,659120000,659120000,64593760,16400,0,0,0,0
2026-03-02,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,390,386,386,350,358,-32,727100,264886600,279,89.3,358,50800,356,400,659120000,659120000,64593760,9800,0,0,0,0
2026-02-27,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,404,404,404,384,390,-14,468800,183391400,141,97.3,396,1300,390,35600,659120000,659120000,64593760,3300,0,0,0,0
2026-02-26,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,408,0,410,402,404,-4,111800,45282600,72,100.8,404,2200,402,2200,659120000,659120000,64593760,0,0,0,0,0
2026-02-25,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,408,0,416,396,408,0,1510700,614746400,322,101.8,414,30100,408,1000,659120000,659120000,64593760,2500,0,0,0,0
2026-02-24,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,428,422,432,404,408,-20,1166600,484963800,324,101.8,414,10800,408,2800,659120000,659120000,64593760,19100,0,0,0,0
2026-02-23,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,420,414,436,414,428,8,558000,237002800,131,106.8,428,7700,418,300,659120000,659120000,64593760,0,0,0,0,0
2026-02-20,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,424,424,426,418,420,-4,48700,20428200,51,104.8,422,8900,420,17200,659120000,659120000,64593760,5200,0,0,0,0
2026-02-19,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,430,432,432,414,424,-6,356100,150005600,161,105.8,426,100,424,200,659120000,659120000,64593760,3900,0,0,0,0
2026-02-18,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,436,442,442,430,430,-6,155800,67596600,137,107.3,430,6300,428,1500,659120000,659120000,64593760,0,0,0,0,0
2026-02-13,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,428,428,448,428,436,8,1795200,785443000,284,108.8,442,300,436,5100,659120000,659120000,64593760,1000,0,0,0,0
2026-02-12,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,424,430,440,410,428,4,1741800,745070200,364,106.8,430,8400,428,7100,659120000,659120000,64593760,0,0,0,0,0
2026-02-11,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,410,426,438,412,424,14,1167000,497380000,300,105.8,426,600,424,3700,659120000,659120000,64593760,2100,193200,0,0,0
2026-02-10,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,416,0,428,408,410,-6,1334600,555737000,310,102.3,412,900,410,4700,659120000,659120000,64593760,1800,225100,0,0,0
2026-02-09,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,400,400,420,398,416,16,1856000,761096000,330,103.8,414,2600,402,1700,659120000,659120000,64593760,0,0,0,0,0
2026-02-06,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,422,414,446,392,400,-22,1412000,580854000,600,99.8,408,16800,400,1900,659120000,659120000,64593760,52500,61100,0,0,0
2026-02-05,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,394,398,482,398,422,28,1875900,806126400,1024,105.3,422,38500,420,5900,659120000,659120000,64593760,182900,3600,0,0,0
2026-02-04,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,410,0,414,390,394,-16,1022200,413871600,245,98.3,406,2500,394,17000,659120000,659120000,64593760,0,62400,0,0,0
2026-02-03,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,398,396,430,348,410,12,1176900,465678000,423,102.3,418,13200,410,7900,659120000,659120000,64593760,0,32400,0,0,0
2026-02-02,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,434,432,432,384,398,-36,507700,201786800,235,99.3,398,310400,396,2100,659120000,659120000,64593760,800,0,0,0,0
2026-01-30,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,404,404,436,398,434,30,319000,132062400,225,108.3,436,3300,424,100,659120000,659120000,64593760,500,46100,0,0,0
2026-01-29,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,420,418,418,358,404,-16,813000,305887400,446,100.8,404,10400,392,5000,659120000,659120000,64593760,3300,134200,0,0,0
2026-01-28,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,486,486,486,418,420,-66,1185800,514352400,513,104.8,420,3400,418,20600,659120000,659120000,64593760,1900,116300,0,0,0
2026-01-27,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,498,496,505,444,486,-12,1132500,539350000,708,121.2,486,4700,482,7500,659120000,659120000,64593760,0,97900,0,0,0
2026-01-26,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,585,510,535,498,498,-87,5770200,2933751300,1929,124.2,498,188000,0,0,659120000,659120000,64593760,0,786700,0,0,0
2026-01-23,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,685,645,645,585,585,-100,5337700,3198071500,1618,145.9,585,3790400,0,0,659120000,659120000,64593760,74100,296500,0,0,0
2026-01-22,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,550,610,685,505,685,135,17149800,10895350000,6106,170.9,0,0,685,2294500,659120000,659120000,64593760,1612000,1123400,0,0,0
2026-01-21,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,442,444,550,444,550,108,6459500,3300647700,2372,137.2,0,0,550,2449900,659120000,659120000,64593760,330700,422400,0,0,0
2026-01-20,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,442,0,448,430,442,0,346000,151640200,228,110.3,444,5100,440,1004600,659120000,659120000,64593760,1400,35800,0,0,0
2026-01-19,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,440,440,448,428,442,2,327200,142178200,268,110.3,442,2000,440,1700,659120000,659120000,64593760,1000,24400,0,0,0
2026-01-15,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,438,444,456,430,440,2,570100,250193600,373,109.8,442,14100,440,9300,659120000,659120000,64593760,1800,2000,0,0,0
2026-01-14,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,478,480,480,412,438,-40,2324500,1030325800,948,109.3,442,200,438,176700,659120000,659120000,64593760,220400,117700,0,0,0
2026-01-13,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,490,492,494,472,478,-12,510300,246422200,325,119.2,478,63100,472,52300,659120000,659120000,64593760,64900,0,0,0,0
2026-01-12,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,480,482,515,482,490,10,1770200,876175600,610,122.2,494,5000,490,14700,659120000,659120000,64593760,0,286500,0,0,0
2026-01-09,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,470,474,496,470,480,10,746300,359714400,451,119.7,482,75500,480,1700,659120000,659120000,64593760,23400,121500,0,0,0
2026-01-08,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,476,476,498,468,470,-6,762400,365080800,469,117.2,474,800,470,62700,659120000,659120000,64593760,38500,20700,0,0,0
2026-01-07,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,498,0,510,472,476,-22,3089000,1490022400,1157,118.7,480,38700,476,12400,659120000,659120000,64593760,25200,4000,0,0,0
2026-01-06,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,510,500,515,490,498,-12,1326500,664253000,541,124.2,500,10800,498,123000,659120000,659120000,64593760,0,155500,0,0,0
2026-01-05,PUDP,Pudjiadi Prestige Tbk.,--UO2100000000H111------------,525,525,550,498,510,-15,4374200,2254526600,1264,127.2,510,2500,505,249700,659120000,659120000,64593760,286100,184000,0,0,0
