Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,183,184,188,165,173,-10,2333800,411779200,573,73.9,174,42900,173,100,6813620000,6813620000,1551461274,133700,26900,0,0,0
2026-03-10,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,165,168,192,165,183,18,3403500,612227300,1071,78.2,183,116000,180,1000,6813620000,6813620000,1551461274,339800,0,0,0,0
2026-03-09,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,180,180,180,154,165,-15,2767100,440517500,584,70.5,165,57900,162,200,6813620000,6813620000,1551461274,61200,22100,0,0,0
2026-03-06,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,186,186,186,178,180,-6,760600,138126300,253,76.9,180,188800,179,159000,6813620000,6813620000,1551461274,136400,28900,0,0,0
2026-03-05,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,186,186,195,185,186,0,998600,186632300,249,79.5,187,8900,186,22900,6813620000,6813620000,1551461274,159400,2800,0,0,0
2026-03-04,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,206,206,206,182,186,-20,3335300,624601200,576,79.5,186,76800,185,70000,6813620000,6813620000,1551461274,687400,26400,0,0,0
2026-03-03,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,206,206,218,198,206,0,2010800,407289800,409,88.0,206,5500,202,5200,6813620000,6813620000,1551461274,289200,9800,0,0,0
2026-03-02,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,226,222,222,200,206,-20,2038800,426781800,390,88.0,206,107300,204,25700,6813620000,6813620000,1551461274,225000,25100,0,0,0
2026-02-27,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,224,224,228,214,226,2,548000,120964800,142,96.6,226,4900,222,30000,6813620000,6813620000,1551461274,122000,5600,0,0,0
2026-02-26,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,230,230,230,218,224,-6,1694400,380299600,295,95.7,224,32200,222,43500,6813620000,6813620000,1551461274,390500,8500,0,0,0
2026-02-25,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,230,0,236,224,230,0,435000,98820600,164,98.3,230,175800,228,47000,6813620000,6813620000,1551461274,96400,5200,0,0,0
2026-02-24,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,236,236,238,228,230,-6,2268200,522913400,305,98.3,230,61300,228,56500,6813620000,6813620000,1551461274,449400,6100,0,0,0
2026-02-23,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,240,242,242,228,236,-4,1428700,333864000,268,100.9,236,33800,234,42600,6813620000,6813620000,1551461274,194100,103000,0,0,0
2026-02-20,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,238,244,244,232,240,2,1176800,279155600,186,102.6,240,173000,234,700,6813620000,6813620000,1551461274,84200,18800,0,0,0
2026-02-19,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,234,234,250,230,238,4,2728800,658536400,422,101.7,238,54700,236,10200,6813620000,6813620000,1551461274,409700,282900,0,0,0
2026-02-18,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,232,234,242,230,234,2,1324400,309002600,240,100.0,234,48400,230,135900,6813620000,6813620000,1551461274,371600,47400,0,0,0
2026-02-13,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,230,230,240,224,232,2,1206200,278778600,170,99.1,232,39700,230,285000,6813620000,6813620000,1551461274,79200,11500,0,0,0
2026-02-12,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,228,230,232,226,230,2,746300,170924000,189,98.3,230,33700,228,47600,6813620000,6813620000,1551461274,84300,10000,0,0,0
2026-02-11,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,222,226,228,222,228,6,1011800,227509800,212,97.4,228,67000,226,36200,6813620000,6813620000,1551461274,20200,8300,0,0,0
2026-02-10,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,220,220,230,220,222,2,1362300,305020000,204,94.9,224,1000,222,64200,6813620000,6813620000,1551461274,275500,89100,0,0,0
2026-02-09,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,216,216,230,216,220,4,447300,98740600,83,94.0,222,50000,220,53200,6813620000,6813620000,1551461274,49100,0,0,0,0
2026-02-06,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,222,222,222,210,216,-6,879800,191363200,183,92.3,218,2000,216,22900,6813620000,6813620000,1551461274,221200,20000,0,0,0
2026-02-05,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,226,232,232,222,222,-4,954300,213484400,194,94.9,226,40700,222,47600,6813620000,6813620000,1551461274,59900,30900,0,0,0
2026-02-04,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,224,226,238,222,226,2,1031900,232505000,215,96.6,226,54900,224,59700,6813620000,6813620000,1551461274,246000,17800,0,0,0
2026-02-03,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,208,208,226,206,224,16,1772400,384751800,310,95.7,224,103700,222,700,6813620000,6813620000,1551461274,273900,27100,0,0,0
2026-02-02,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,238,238,240,208,208,-30,3542300,773480000,539,88.9,212,100,208,36900,6813620000,6813620000,1551461274,421700,544500,0,0,0
2026-01-30,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,240,240,252,234,238,-2,2662400,644216600,297,101.7,238,11600,236,2800,6813620000,6813620000,1551461274,218700,420500,0,0,0
2026-01-29,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,240,240,246,204,240,0,8128500,1787216400,768,102.6,242,3100,240,7900,6813620000,6813620000,1551461274,1346100,886900,0,0,0
2026-01-28,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,270,266,266,230,240,-30,11755500,2840677400,1425,102.6,244,69700,240,200600,6813620000,6813620000,1551461274,646800,1640100,0,0,0
2026-01-27,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,276,276,280,268,270,-6,5173000,1412350800,778,115.4,272,157000,270,155900,6813620000,6813620000,1551461274,1374400,190800,0,0,0
2026-01-26,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,258,270,284,268,276,18,9804400,2706374400,1292,117.9,276,127600,274,16400,6813620000,6813620000,1551461274,355100,725600,0,0,0
2026-01-23,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,268,280,288,256,258,-10,9605600,2565777200,1171,110.3,260,3000,258,112100,6813620000,6813620000,1551461274,1539900,1533100,0,0,0
2026-01-22,RAAM,Tripar Multivision Plus Tbk.,--MO1135000000E621------------,272,280,296,268,268,-4,17102900,4842321000,2553,114.5,268,36800,266,110100,6813620000,6813620000,1551461274,1561900,2390300,0,0,0
