Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,2320,0,2470,2250,2250,-70,791400,1847343000,559,2044.2,2280,2400,2250,100600,16198599990,16198599990,2805597520,204100,283800,0,0,0
2026-03-10,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,2300,2340,2410,2180,2320,20,904900,2086195000,541,2107.8,2340,1000,2310,200,16198599990,16198599990,2805597520,161500,233700,0,0,0
2026-03-09,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,2500,2400,2400,2170,2300,-200,885300,1995831000,590,2089.6,2300,3800,2290,3000,16198599990,16198599990,2805597520,95500,278200,0,0,0
2026-03-06,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,2650,2650,2650,2350,2500,-150,1648900,4023666000,736,2271.3,2500,39000,2450,25000,16198599990,16198599990,2805597520,280600,182700,0,0,0
2026-03-05,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,2700,2680,2750,2480,2650,-50,1912600,4953552000,830,2407.6,2650,48500,2500,2500,16198599990,16198599990,2805597520,260300,398500,0,0,0
2026-03-04,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,2910,2890,3200,2590,2700,-210,3041000,8521095000,1717,2453.1,2700,62400,2650,1100,16198599990,16198599990,2805597520,686500,446000,0,0,0
2026-03-03,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3050,0,3100,2860,2910,-140,1170700,3445692000,695,2643.8,2910,13700,2900,600,16198599990,16198599990,2805597520,247600,234800,0,0,0
2026-03-02,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3210,3050,3200,2810,3050,-160,2831400,8400351000,1175,2771.0,3050,40100,2920,100,16198599990,16198599990,2805597520,708500,792200,0,0,0
2026-02-27,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3260,3260,3270,3050,3210,-50,1476200,4604645000,825,2916.4,3210,28700,3070,4100,16198599990,16198599990,2805597520,189200,472700,0,0,0
2026-02-26,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3240,3520,3520,3030,3260,20,2400400,7626089000,1806,2961.8,3260,11800,3140,700,16198599990,16198599990,2805597520,480600,651600,17215000,47660550000,3
2026-02-25,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3010,3030,3290,3000,3240,230,1813400,5767786000,1559,2943.7,3240,11100,3230,1800,16198599990,16198599990,2805597520,493400,285000,591000000,1514035000000,4
2026-02-24,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3430,3430,3480,3010,3010,-420,2496900,7989021000,1847,2734.7,3040,1800,3010,15300,16198599990,16198599990,2805597520,213900,451000,32650000,95338000000,1
2026-02-23,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3500,3550,3630,3360,3430,-70,2696800,9293538000,1847,3116.3,3430,54900,3400,100,16198599990,16198599990,2805597520,222900,126500,40,138600,2
2026-02-20,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3620,3630,3750,3500,3500,-120,2179700,7874801000,1434,3179.9,3500,1700,3490,25500,16198599990,16198599990,2805597520,301400,152100,0,0,0
2026-02-19,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2130000000H111------------,3650,3670,4560,3500,3620,-30,4950700,19714275000,4219,3288.9,3630,15300,3620,1400,16198599990,16198599990,2805597520,477500,223000,4687500,15000000000,2
2026-02-18,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,3780,3760,3850,3610,3650,-130,1589800,5921183000,1022,3316.2,3700,22800,3650,300,16198599990,16198599990,2805597520,90800,128900,1000000,3610000000,1
2026-02-13,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,3750,3700,3780,3590,3780,30,1997900,7273703000,1352,3434.3,3780,148200,3630,300,16198599990,16198599990,2805597520,96400,49500,0,0,0
2026-02-12,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,3790,3820,3830,3630,3750,-40,1751400,6471581000,1310,3407.0,3750,14800,3700,100,16198599990,16198599990,2805597520,264800,162800,1150000,4082500000,1
2026-02-11,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,3750,3750,3860,3660,3790,40,1431300,5328698000,1180,3443.4,3790,3000,3720,11500,16198599990,16198599990,2805597520,43100,213900,80,294400,1
2026-02-10,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,3750,3740,3940,3600,3750,0,1097600,4102435000,1204,3407.0,3750,7700,3700,5300,16198599990,16198599990,2805597520,153500,153300,92,165784,1
2026-02-09,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,4000,4000,4000,3600,3750,-250,1778500,6633528000,1538,3407.0,3750,5200,3690,100,10945000000,10945000000,2805597520,166200,307600,0,0,0
2026-02-06,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,4000,3900,4000,3650,4000,0,693800,2636512000,580,3634.2,4000,5000,3900,4900,10945000000,10945000000,2805597520,86100,110700,0,0,0
2026-02-05,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,4290,4290,4700,3850,4000,-290,2115300,8682231000,2600,3634.2,4000,700,3990,10500,10945000000,10945000000,2805597520,397500,480500,0,0,0
2026-02-04,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2130000000H111------------,4700,4790,4790,4180,4290,-410,737500,3212417000,1172,3897.6,4300,5000,4290,3900,10945000000,10945000000,2805597520,245200,48700,0,0,0
2026-02-03,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,4280,4200,5000,3690,4700,420,3256700,13402668000,2598,4270.1,4700,100,4680,100,10945000000,10945000000,2805597520,747500,1011400,0,0,0
2026-02-02,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,5025,5350,5350,4280,4280,-745,843600,3778729500,819,3888.5,4280,133100,0,0,10945000000,10945000000,2805597520,57400,161700,0,0,0
2026-01-30,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,5075,5075,5250,4950,5025,-50,907900,4584930000,965,4565.4,5025,4300,4960,1000,10945000000,10945000000,2805597520,162200,92100,0,0,0
2026-01-29,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,5950,5950,6025,5075,5075,-875,2391100,12650072500,1882,4610.8,5100,1100,5075,200,10945000000,10945000000,2805597520,381300,600600,0,0,0
2026-01-28,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,5825,4960,5950,4960,5950,125,1570200,8047864000,1039,5405.8,5950,128300,5050,100,10945000000,10945000000,2805597520,123700,175300,0,0,0
2026-01-27,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,5950,5900,6000,5450,5825,-125,2686100,15057875000,1982,5292.2,5825,13100,5525,6400,10945000000,10945000000,2805597520,323100,376200,0,0,0
2026-01-26,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,6300,6500,6500,5675,5950,-350,819000,4819325000,1298,5405.8,5950,900,5775,400,10945000000,10945000000,2805597520,88500,85800,0,0,0
2026-01-23,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,6150,6125,6400,5750,6300,150,571600,3478392500,803,5723.8,6300,24900,6225,700,10945000000,10945000000,2805597520,104200,92500,0,0,0
2026-01-22,RISE,Jaya Sukses Makmur Sentosa Tbk.,XBUO2135000000H111------------,6800,6800,6800,6050,6150,-650,1444100,9014727500,1598,5587.5,6150,2200,6125,3500,10945000000,10945000000,2805597520,223700,261100,0,0,0
2026-01-21,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,7725,7675,7675,6575,6800,-925,2558500,17383270000,2720,6178.1,6800,1500,6775,1400,10945000000,10945000000,2805597520,136300,98200,0,0,0
2026-01-20,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,6550,7250,7850,7025,7725,1175,3290500,25429140000,3086,7018.5,7725,2100,7700,1300,10945000000,10945000000,2805597520,176900,217200,0,0,0
2026-01-19,RISE,Jaya Sukses Makmur Sentosa Tbk.,CBUO2135000000H111------------,10050,10150,10375,9600,9700,-350,1167200,11508035000,1411,5950.9,9800,30600,9625,400,10945000000,10945000000,1895674000,99600,54600,0,0,0
2026-01-15,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,10100,10125,10350,9975,10050,-50,812100,8229067500,920,6165.6,10100,5000,10025,17700,10945000000,10945000000,1895674000,109400,152600,0,0,0
2026-01-14,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,10400,10000,10300,9700,10100,-300,737700,7407010000,1029,6196.3,10100,34600,10075,1200,10945000000,10945000000,1895674000,104400,102500,0,0,0
2026-01-13,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,9250,9250,10400,8925,10400,1150,656600,6343465000,703,6380.4,10400,78700,9450,200,10945000000,10945000000,1895674000,82900,95400,0,0,0
2026-01-12,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,9875,10500,10500,8800,9250,-625,1126800,10673232500,1546,5674.8,9250,3700,9100,1100,10945000000,10945000000,1895674000,375900,72400,0,0,0
2026-01-09,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,9425,9800,9900,9275,9875,450,1207800,11721072500,1463,6058.3,9875,500,9825,600,10945000000,10945000000,1895674000,259000,346200,0,0,0
2026-01-08,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8725,0,9800,8700,9425,700,1229900,11263222500,1245,5782.2,9425,120100,9100,1000,10945000000,10945000000,1895674000,143700,239400,0,0,0
2026-01-07,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8875,8875,8900,8575,8725,-150,414300,3589352500,631,5352.8,8775,100,8725,900,10945000000,10945000000,1895674000,75400,82800,0,0,0
2026-01-06,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8975,8975,8975,8700,8875,-100,284800,2503560000,658,5444.8,8875,3300,8825,1200,10945000000,10945000000,1895674000,45500,31200,0,0,0
2026-01-05,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8900,9000,9100,8700,8975,75,308600,2744510000,377,5506.1,8975,500,8950,2000,10945000000,10945000000,1895674000,39400,91600,0,0,0
2026-01-02,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,9025,9000,9000,8825,8900,-125,224600,2005642500,277,5460.1,8975,200,8900,4900,10945000000,10945000000,1895674000,32700,52000,0,0,0
2025-12-30,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8975,9000,9175,8725,9025,50,460700,4121755000,319,5536.8,9050,3300,9025,700,10945000000,10945000000,1616576500,29000,152100,0,0,0
2025-12-29,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8900,8900,9225,8675,8975,75,328400,2962082500,315,5506.1,9000,2900,8975,4200,10945000000,10945000000,1616576500,36900,25600,0,0,0
2025-12-24,RISE,Jaya Sukses Makmur Sentosa Tbk.,--UO2135000000H111------------,8525,8525,9125,8300,8900,375,389200,3411525000,553,5460.1,9000,6900,8900,1300,10945000000,10945000000,1616576500,69700,70300,0,0,0
