Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,1890,0,1985,1610,1730,-160,104100,177696500,184,1730.0,1730,100,1650,1000,1250000000,1250000000,194375000,6500,27600,0,0,0
2026-03-11,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,1920,0,1935,1865,1890,-30,73500,139477500,121,1890.0,1915,2000,1890,1900,1250000000,1250000000,194375000,2300,0,0,0,0
2026-03-10,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,2210,2210,2210,1880,1920,-290,151600,290246000,368,1920.0,1920,800,1915,500,1250000000,1250000000,194375000,0,7500,0,0,0
2026-03-09,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,2600,2610,2610,2210,2210,-390,66900,148460000,193,2210.0,2210,14700,0,0,1250000000,1250000000,194375000,4800,0,0,0,0
2026-03-06,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,2590,0,3000,2590,2600,10,32100,88438000,161,2600.0,2680,100,2600,700,1250000000,1250000000,194375000,3100,1600,0,0,0
2026-03-05,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,2300,2300,2850,2270,2590,290,78200,199011000,298,2590.0,2600,200,2400,2600,1250000000,1250000000,194375000,1600,3100,0,0,0
2026-03-04,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,2630,2650,2720,2240,2300,-330,195500,463734000,286,2300.0,2380,1000,2300,400,1250000000,1250000000,194375000,2700,2700,0,0,0
2026-03-03,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3000,0,2970,2550,2630,-370,90300,235596000,148,2630.0,2630,1000,2620,100,1250000000,1250000000,194375000,1700,29200,0,0,0
2026-03-02,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3200,3100,3160,2720,3000,-200,36200,104718000,130,3000.0,3000,5200,2720,1100,1250000000,1250000000,194375000,2100,5200,0,0,0
2026-02-27,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3110,0,3250,3010,3200,90,10500,32560000,28,3200.0,3210,100,3100,200,1250000000,1250000000,194375000,0,0,0,0,0
2026-02-26,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3250,0,3290,3100,3110,-140,9200,29348000,45,3110.0,3190,200,3100,200,1250000000,1250000000,194375000,2600,0,0,0,0
2026-02-25,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3220,0,3250,3080,3250,30,15900,50647000,53,3250.0,3230,400,3200,100,1250000000,1250000000,194375000,0,8200,0,0,0
2026-02-24,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3350,0,3400,3200,3220,-130,22800,75464000,67,3220.0,3300,10100,3220,700,1250000000,1250000000,194375000,0,0,0,0,0
2026-02-23,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3330,0,3390,3250,3350,20,9100,30429000,29,3350.0,3350,400,3310,400,1250000000,1250000000,194375000,1800,200,0,0,0
2026-02-20,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3280,0,3370,3280,3330,50,17600,58669000,37,3330.0,3370,200,3330,2900,1250000000,1250000000,194375000,0,0,0,0,0
2026-02-19,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3240,0,3330,3230,3280,40,21700,70490000,51,3280.0,3310,100,3270,100,1250000000,1250000000,194375000,0,8500,0,0,0
2026-02-18,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3320,0,3420,3240,3240,-80,38900,129936000,79,3240.0,3260,100,3240,100,1250000000,1250000000,194375000,1600,5200,0,0,0
2026-02-13,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3260,3100,3390,3100,3320,60,14100,45121000,62,3320.0,3320,100,3250,100,1250000000,1250000000,194375000,0,0,0,0,0
2026-02-12,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3270,3760,3760,3260,3260,-10,43800,147622000,106,3260.0,3270,3100,3260,100,1250000000,1250000000,194375000,2700,0,0,0,0
2026-02-11,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3060,0,3380,2960,3270,210,41200,135895000,146,3270.0,3360,1400,3100,200,1250000000,1250000000,194375000,0,100,0,0,0
2026-02-10,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3120,0,3250,3060,3060,-60,17000,52921000,45,3060.0,3150,6900,3060,1200,1250000000,1250000000,194375000,0,0,0,0,0
2026-02-09,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3250,3250,3250,3000,3120,-130,26700,81528000,94,3120.0,3150,600,3120,300,1250000000,1250000000,194375000,0,0,0,0,0
2026-02-06,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3240,0,3250,2870,3250,10,38500,116630000,67,3250.0,3250,1600,3150,2000,1250000000,1250000000,194375000,0,8300,0,0,0
2026-02-05,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3290,3250,3310,3000,3240,-50,21000,66379000,79,3240.0,3280,1000,3120,300,1250000000,1250000000,194375000,5200,100,0,0,0
2026-02-04,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3330,3300,3480,3210,3290,-40,19800,64585000,51,3290.0,3290,1100,3250,400,1250000000,1250000000,194375000,0,3400,0,0,0
2026-02-03,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3220,3150,3490,2820,3330,110,32800,102519000,99,3330.0,3300,100,3170,300,1250000000,1250000000,194375000,0,6000,0,0,0
2026-02-02,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3780,3770,3770,3220,3220,-560,60100,197354000,138,3220.0,3220,5000,0,0,1250000000,1250000000,194375000,4300,9700,0,0,0
2026-01-30,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3050,3270,3780,3050,3780,730,78600,276894000,204,3780.0,3790,1000,3760,100,1250000000,1250000000,194375000,16900,0,0,0,0
2026-01-29,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3400,3400,3400,2890,3050,-350,189700,560905000,259,3050.0,3050,7300,3040,300,1250000000,1250000000,194375000,0,25500,0,0,0
2026-01-28,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3920,3920,3920,3340,3400,-520,178100,632691000,301,3400.0,3500,400,3400,600,1250000000,1250000000,194375000,3900,9300,0,0,0
2026-01-27,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4000,3940,4000,3850,3920,-80,31300,122441000,109,3920.0,3960,100,3920,700,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-26,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3990,4200,4200,3900,4000,10,37500,149608000,92,4000.0,4000,400,3990,700,1250000000,1250000000,194375000,2400,0,0,0,0
2026-01-23,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4000,4100,4100,3680,3990,-10,62700,243525000,161,3990.0,4000,7000,3930,100,1250000000,1250000000,194375000,0,1200,0,0,0
2026-01-22,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4300,0,4280,3890,4000,-300,136700,558576000,350,4000.0,4100,100,4000,4700,1250000000,1250000000,194375000,0,2600,0,0,0
2026-01-21,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4300,4320,4320,4020,4300,0,141800,587523000,280,4300.0,4300,15000,4230,100,1250000000,1250000000,194375000,43400,3000,0,0,0
2026-01-20,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4270,4290,4300,4170,4300,30,95500,403221000,198,4300.0,4300,6400,4280,1700,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-19,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4290,4850,4850,4220,4270,-20,133000,574510000,310,4270.0,4290,900,4260,400,1250000000,1250000000,194375000,2400,2800,0,0,0
2026-01-15,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4210,4220,4400,4220,4290,80,128400,549400000,267,4290.0,4290,500,4260,1100,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-14,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,4000,4420,5000,4100,4210,210,1086200,4826358000,1421,4210.0,4220,7400,4210,21000,1250000000,1250000000,194375000,149800,88000,0,0,0
2026-01-13,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3650,3570,4280,3570,4000,350,296400,1183952000,559,4000.0,4000,6000,3990,500,1250000000,1250000000,194375000,54000,38600,0,0,0
2026-01-12,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3760,0,3790,3620,3650,-110,38700,141665000,101,3650.0,3660,600,3650,2600,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-09,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3640,0,3770,3620,3760,120,21400,78898000,67,3760.0,3760,5500,3700,100,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-08,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3710,3710,3750,3620,3640,-70,35200,130020000,106,3640.0,3680,1100,3620,5600,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-07,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3760,0,3790,3650,3710,-50,35300,130899000,104,3710.0,3710,15800,3670,100,1250000000,1250000000,194375000,0,100,0,0,0
2026-01-06,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3870,3860,3860,3740,3760,-110,58400,219967000,152,3760.0,3800,100,3760,200,1250000000,1250000000,194375000,1600,0,0,0,0
2026-01-05,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3950,3950,4010,3750,3870,-80,21700,84207000,82,3870.0,3870,1500,3850,600,1250000000,1250000000,194375000,0,0,0,0,0
2026-01-02,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3720,3720,3990,3720,3950,230,33700,130703000,107,3950.0,3950,5500,3880,100,1250000000,1250000000,194375000,0,2300,0,0,0
2025-12-30,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3840,3900,3900,3700,3720,-120,18400,69811000,73,3720.0,3770,300,3720,1200,1250000000,1250000000,194375000,2700,0,0,0,0
2025-12-29,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3730,0,3930,3730,3840,110,19500,74912000,83,3840.0,3850,5100,3800,200,1250000000,1250000000,194375000,2300,0,0,0,0
2025-12-24,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3740,3740,3740,3600,3730,-10,42000,154726000,104,3730.0,3740,600,3700,1300,1250000000,1250000000,194375000,1000,0,0,0,0
2025-12-23,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3890,0,3940,3740,3740,-150,32400,122190000,99,3740.0,3780,100,3740,300,1250000000,1250000000,194375000,0,5800,0,0,0
2025-12-22,RONY,Aracord Nusantara Group Tbk.,--UO2135000000J211------------,3890,0,3890,3780,3890,0,32300,122930000,69,3890.0,3910,200,3880,300,1250000000,1250000000,194375000,0,0,0,0,0
