Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,252,260,268,248,254,2,2512100,639603800,495,101.6,254,199200,252,19300,770000000,770000000,298914000,570000,95800,0,0,0
2026-03-11,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,254,250,272,250,252,-2,4488500,1173735600,615,100.8,254,177500,252,175800,770000000,770000000,298914000,187900,300600,0,0,0
2026-03-10,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,262,250,258,246,254,-8,4228300,1061056800,734,101.6,254,44100,252,15800,770000000,770000000,298914000,13300,554200,0,0,0
2026-03-09,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,268,288,288,260,262,-6,15566600,4231409000,2290,104.8,264,387700,262,1073700,770000000,770000000,298914000,2143700,406500,0,0,0
2026-03-06,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,266,270,300,266,268,2,11912400,3351410800,2366,107.2,270,13000,268,1199000,770000000,770000000,298914000,971600,637200,0,0,0
2026-03-05,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,266,272,278,262,266,0,6354400,1702573200,767,106.4,268,155700,266,183000,770000000,770000000,298914000,279200,472400,0,0,0
2026-03-04,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,286,288,304,252,266,-20,17268900,4754059400,2654,106.4,268,147400,266,20700,770000000,770000000,298914000,605600,2513000,0,0,0
2026-03-03,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,310,310,314,274,286,-24,31668300,9248150200,4418,114.4,288,171100,286,25500,770000000,770000000,298914000,2394000,2181900,0,0,0
2026-03-02,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,248,274,310,258,310,62,61644900,17882097400,7075,124.0,0,0,310,1146700,770000000,770000000,298914000,4948300,3093700,0,0,0
2026-02-27,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,246,0,248,240,248,2,539500,132011800,134,99.2,250,5000,248,9700,770000000,770000000,298914000,8000,70100,0,0,0
2026-02-26,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,250,252,254,240,246,-4,1061200,259898600,239,98.4,248,100,246,34700,770000000,770000000,298914000,70600,5800,0,0,0
2026-02-25,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,256,258,264,248,250,-6,2094500,529099600,264,100.0,252,10200,250,1242000,770000000,770000000,298914000,26200,125300,0,0,0
2026-02-24,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,264,268,268,256,256,-8,1565600,403570600,243,102.4,258,225000,256,254700,770000000,770000000,298914000,85300,7000,0,0,0
2026-02-23,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,266,274,276,260,264,-2,1289900,343238600,299,105.6,264,165800,262,141700,770000000,770000000,298914000,111000,46400,0,0,0
2026-02-20,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,266,0,276,262,266,0,2556700,689440000,312,106.4,272,38400,266,717000,770000000,770000000,298914000,378400,343700,0,0,0
2026-02-19,RUIS,Radiant Utama Interinsco Tbk.,--MO2130000000A132------------,268,280,288,256,266,-2,6824200,1865669600,1056,106.4,270,199600,266,48700,770000000,770000000,298914000,1323000,475300,0,0,0
