Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,SAFE,Steady Safe Tbk,--UO2130000000K132------------,370,360,376,352,368,-2,387800,143113000,89,37.0,368,9500,360,100000,821207512,821207512,57238164,7100,0,0,0,0
2026-03-06,SAFE,Steady Safe Tbk,--UO2130000000K132------------,380,0,386,370,370,-10,338700,128170000,82,37.3,370,31800,360,5000,821207512,821207512,57238164,0,0,0,0,0
2026-03-05,SAFE,Steady Safe Tbk,--UO2130000000K132------------,376,0,382,376,380,4,451500,170714400,79,38.3,380,35100,376,1400,821207512,821207512,57238164,0,0,0,0,0
2026-03-04,SAFE,Steady Safe Tbk,--UO2130000000K132------------,376,0,386,366,376,0,375600,141408400,98,37.9,376,8200,370,10000,821207512,821207512,57238164,2200,0,0,0,0
2026-03-03,SAFE,Steady Safe Tbk,--UO2130000000K132------------,390,390,392,370,376,-14,421500,160472200,158,37.9,376,78600,370,800,821207512,821207512,57238164,28400,0,0,0,0
2026-03-02,SAFE,Steady Safe Tbk,--UO2130000000K132------------,388,392,392,380,390,2,437900,168185800,135,39.3,390,27400,388,200,821207512,821207512,57238164,700,0,0,0,0
2026-02-27,SAFE,Steady Safe Tbk,--UO2130000000K132------------,384,0,394,382,388,4,403100,156306600,144,39.1,388,106900,382,24600,821207512,821207512,57238164,0,0,0,0,0
2026-02-26,SAFE,Steady Safe Tbk,--UO2130000000K132------------,390,0,394,380,384,-6,348800,135998600,112,38.7,384,17900,382,22100,821207512,821207512,57238164,0,0,0,0,0
2026-02-25,SAFE,Steady Safe Tbk,--UO2130000000K132------------,396,398,402,378,390,-6,512900,200567000,199,39.3,390,8900,384,1000,821207512,821207512,57238164,0,0,0,0,0
2026-02-24,SAFE,Steady Safe Tbk,--UO2130000000K132------------,388,392,400,390,396,8,542600,212647600,161,39.9,396,24600,394,5200,821207512,821207512,57238164,0,21700,0,0,0
2026-02-23,SAFE,Steady Safe Tbk,--UO2130000000K132------------,386,386,392,372,388,2,468000,179791600,159,39.1,388,30300,384,100,821207512,821207512,57238164,0,0,0,0,0
2026-02-20,SAFE,Steady Safe Tbk,--UO2130000000K132------------,382,382,390,380,386,4,437400,168249000,90,38.9,386,37000,384,2200,821207512,821207512,57238164,0,0,0,0,0
2026-02-19,SAFE,Steady Safe Tbk,--UO2130000000K132------------,380,382,386,374,382,2,390200,149276800,101,38.5,384,12500,380,10300,821207512,821207512,57238164,200,0,0,0,0
2026-02-18,SAFE,Steady Safe Tbk,--UO2130000000K132------------,384,384,390,370,380,-4,280100,107020200,155,38.3,380,4600,378,200,821207512,821207512,57238164,400,0,0,0,0
2026-02-13,SAFE,Steady Safe Tbk,--UO2130000000K132------------,384,384,386,372,384,0,703300,267333800,154,38.7,384,30300,376,8100,821207512,821207512,57238164,0,0,0,0,0
2026-02-12,SAFE,Steady Safe Tbk,--UO2130000000K132------------,384,0,384,370,384,0,501300,190332000,132,38.7,384,15700,374,12000,821207512,821207512,57238164,0,0,0,0,0
2026-02-11,SAFE,Steady Safe Tbk,--UO2130000000K132------------,384,384,384,362,384,0,611200,230425600,213,38.7,384,31100,376,48200,821207512,821207512,57238164,0,32000,0,0,0
2026-02-10,SAFE,Steady Safe Tbk,--UO2130000000K132------------,372,372,390,370,384,12,618100,234333400,232,38.7,384,5300,380,102200,821207512,821207512,57238164,0,0,0,0,0
2026-02-09,SAFE,Steady Safe Tbk,--UO2130000000K132------------,350,352,418,352,372,22,2040200,772553400,913,37.5,372,10600,370,2700,821207512,821207512,57238164,0,194000,0,0,0
