Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,3720,3830,3830,3540,3700,-20,29900,109856000,34,2642.9,3700,12200,3590,100,2719790000,2500000000,495001780,1500,0,0,0,0
2026-03-10,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,3650,0,3920,3520,3720,70,9900,35912000,19,2657.1,3720,5600,3610,100,2719790000,2500000000,495001780,0,0,0,0,0
2026-03-09,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,3920,3900,3920,3450,3650,-270,95600,336131000,150,2607.1,3630,100,3520,100,2719790000,2500000000,495001780,2900,4900,0,0,0
2026-03-06,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,3950,0,3950,3670,3920,-30,97100,376836000,116,2800.0,3920,11800,3810,200,2719790000,2500000000,495001780,1400,6800,0,0,0
2026-03-05,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4010,0,4100,3870,3950,-60,41300,162061000,87,2821.4,3940,100,3880,700,2719790000,2500000000,495001780,4500,0,0,0,0
2026-03-04,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4050,0,4050,3840,4010,-40,59900,234619000,104,2864.3,4010,11100,3940,300,2719790000,2500000000,495001780,0,2900,0,0,0
2026-03-03,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4030,4120,4200,3930,4050,20,85800,346146000,151,2892.9,4050,20000,3960,2000,2719790000,2500000000,495001780,3300,0,0,0,0
2026-03-02,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4120,4120,4120,3890,4030,-90,95600,381721000,196,2878.6,4040,10200,4030,400,2719790000,2500000000,495001780,1100,4600,0,0,0
2026-02-27,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4280,4280,4400,3990,4120,-160,226900,946005000,337,2942.9,4100,1400,4020,100,2719790000,2500000000,495001780,0,0,0,0,0
2026-02-26,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4130,0,4500,4120,4280,150,545900,2338186000,873,3057.1,4280,600,4260,200,2719790000,2500000000,495001780,31900,31600,0,0,0
2026-02-25,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4120,4120,4140,4050,4130,10,33300,136717000,71,2950.0,4130,124900,4100,500,2719790000,2500000000,495001780,0,0,166221138,677980596800,7
2026-02-24,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4100,0,4200,4020,4120,20,40400,165563000,38,2942.9,4120,200,4020,200,2719790000,2500000000,495001780,0,0,43000000,155400000000,3
2026-02-23,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4130,0,4130,4050,4100,-30,31600,128646000,19,2928.6,4100,9600,4070,20100,2719790000,2500000000,495001780,0,0,0,0,0
2026-02-20,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4000,0,4200,3990,4130,130,22900,93321000,60,2950.0,4130,9700,4040,100,2719790000,2500000000,495001780,0,0,0,0,0
2026-02-19,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4080,0,4100,3950,4000,-80,24900,99689000,56,2857.1,4000,9400,3980,800,2719790000,2500000000,495001780,2200,0,0,0,0
2026-02-18,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4030,0,4110,3950,4080,50,6600,26492000,26,2914.3,4070,10000,4010,10000,2719790000,2500000000,495001780,0,0,0,0,0
2026-02-13,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4040,4050,4450,3890,4030,-10,30400,123683000,66,2878.6,4050,100,4030,800,2719790000,2500000000,495001780,8400,0,0,0,0
2026-02-12,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4150,0,4160,4040,4040,-110,22200,90090000,47,2885.7,4050,14000,4040,8200,2719790000,2500000000,495001780,0,11400,0,0,0
2026-02-11,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4210,4210,4210,4040,4150,-60,68800,282728000,61,2964.3,4150,17300,4140,100,2719790000,2500000000,495001780,8600,0,0,0,0
2026-02-10,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4240,0,4210,4040,4210,-30,24400,99778000,87,3007.1,4200,600,4100,100,2719790000,2500000000,495001780,0,8600,0,0,0
2026-02-09,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4050,0,4530,4020,4240,190,65500,276434000,166,3028.6,4190,400,4040,200,2719790000,2500000000,495001780,0,0,0,0,0
2026-02-06,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4000,0,4120,3980,4050,50,45600,184157000,77,2892.9,4050,600,4010,500,2719790000,2500000000,495001780,1000,0,0,0,0
2026-02-05,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4010,4100,4100,4000,4000,-10,7100,28914000,34,2857.1,4080,100,4000,400,2719790000,2500000000,495001780,0,0,0,0,0
2026-02-04,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4400,0,4230,3940,4010,-390,35500,144116000,105,2864.3,4140,800,4000,500,2719790000,2500000000,495001780,6000,0,0,0,0
2026-02-03,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4090,0,4490,3900,4400,310,47700,191898000,76,3142.9,4390,300,4000,100,2719790000,2500000000,495001780,1300,0,0,0,0
2026-02-02,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4470,0,4470,3880,4090,-380,28400,118768000,43,2921.4,4090,200,4010,100,2719790000,2500000000,495001780,11000,1300,0,0,0
2026-01-30,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4510,0,4500,4210,4470,-40,35000,152690000,43,3192.9,4460,10000,4230,10300,2719790000,2500000000,495001780,20000,0,0,0,0
2026-01-29,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4430,0,4540,4000,4510,80,41800,175241000,50,3221.4,4460,300,4130,5000,2719790000,2500000000,495001780,0,0,0,0,0
2026-01-28,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4440,4590,4590,4220,4430,-10,27400,118133000,55,3164.3,4420,200,4220,5300,2719790000,2500000000,495001780,11700,0,0,0,0
2026-01-27,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4500,4500,4500,4250,4440,-60,10100,44359000,20,3171.4,4440,1000,4300,13800,2719790000,2500000000,495001780,0,0,0,0,0
2026-01-26,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4440,0,4500,4300,4500,60,42400,187966000,54,3214.3,4490,5000,4330,100,2719790000,2500000000,495001780,3600,0,0,0,0
2026-01-23,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4480,4480,4480,4420,4440,-40,29000,128698000,37,3171.4,4440,7800,4420,39900,2719790000,2500000000,495001780,3600,0,0,0,0
2026-01-22,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4510,0,4560,4450,4480,-30,10100,45295000,36,3200.0,4470,1000,4450,100,2719790000,2500000000,495001780,1700,0,0,0,0
2026-01-21,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4600,0,4560,4470,4510,-90,49300,222059000,47,3221.4,4550,2200,4510,4500,2719790000,2500000000,495001780,0,1400,0,0,0
2026-01-20,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4570,0,4720,4560,4600,30,151600,702757000,81,3285.7,4640,200,4590,700,2719790000,2500000000,495001780,1500,7800,0,0,0
2026-01-19,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4610,4600,4630,4560,4570,-40,14700,67356000,40,3264.3,4580,100,4570,200,2719790000,2500000000,495001780,5000,0,0,0,0
2026-01-15,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4610,4620,4700,4550,4610,0,31300,143171000,56,3292.9,4620,200,4580,100,2719790000,2500000000,495001780,0,1400,0,0,0
2026-01-14,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4570,4600,4700,4570,4610,40,4900,22615000,23,3292.9,4640,100,4610,500,2719790000,2500000000,495001780,0,0,0,0,0
2026-01-13,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4580,0,4670,4570,4570,-10,15100,69209000,30,3264.3,4570,600,4560,900,2719790000,2500000000,495001780,0,4900,0,0,0
2026-01-12,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4700,0,4700,4510,4580,-120,13500,62401000,41,3271.4,4580,100,4520,100,2719790000,2500000000,495001780,0,0,0,0,0
2026-01-09,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4610,4640,4900,4600,4700,90,22600,107676000,58,3357.1,4700,2600,4650,500,2719790000,2500000000,495001780,6100,3700,0,0,0
2026-01-08,SHIP,Sillo Maritime Perdana Tbk.,--UO1135000000A112------------,4690,0,4690,4590,4610,-80,8200,37863000,37,3292.9,4660,2900,4610,3100,2719790000,2500000000,495001780,0,400,0,0,0
