Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5550,5550,5850,5325,5425,-125,228000,1238657500,196,1792.4,5500,100,5425,1900,2872193366,2872193366,216850599,30200,33700,0,0,0
2026-03-06,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5750,0,5800,5500,5550,-200,163800,910922500,100,1833.7,5575,2600,5550,15500,2872193366,2872193366,216850599,2300,80800,0,0,0
2026-03-05,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5700,0,5900,5700,5750,50,37000,214287500,67,1899.8,5750,5600,5725,500,2872193366,2872193366,216850599,17000,1700,0,0,0
2026-03-04,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5975,6075,6100,5625,5700,-275,116900,675072500,236,1883.3,5725,1200,5700,100,2872193366,2872193366,216850599,17700,6600,0,0,0
2026-03-03,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5450,5775,6025,5500,5975,525,466200,2720282500,472,1974.2,6000,500,5975,4200,2872193366,2872193366,216850599,50000,132200,0,0,0
2026-03-02,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5650,5550,5550,5300,5450,-200,149200,811025000,183,1800.7,5500,5100,5450,8400,2872193366,2872193366,216850599,13800,4000,0,0,0
2026-02-27,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5600,5600,5650,5450,5650,50,43700,244652500,81,1866.8,5650,600,5625,8100,2872193366,2872193366,216850599,3600,4000,0,0,0
2026-02-26,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5725,5725,5850,5375,5600,-125,196900,1088055000,309,1850.3,5600,200,5575,1900,2872193366,2872193366,216850599,11300,33900,0,0,0
2026-02-25,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5775,5700,5850,5575,5725,-50,69600,395385000,161,1891.6,5775,3600,5725,1700,2872193366,2872193366,216850599,2300,11700,122800,698486400,1
2026-02-24,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5950,6000,6075,5700,5775,-175,173400,1022570000,228,1908.1,5800,1800,5775,700,2872193366,2872193366,216850599,56300,1900,0,0,0
2026-02-23,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5775,5825,6000,5800,5950,175,376700,2223442500,422,1965.9,5950,4200,5925,8700,2872193366,2872193366,216850599,19400,48100,0,0,0
2026-02-20,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5525,5550,6325,5500,5775,250,739700,4310407500,613,1908.1,5775,1000,5750,100,2872193366,2872193366,216850599,59500,53000,0,0,0
2026-02-19,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5550,5575,5600,5500,5525,-25,79300,438532500,152,1825.5,5525,10300,5500,8700,2872193366,2872193366,216850599,15700,400,0,0,0
2026-02-18,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5500,5600,5700,5475,5550,50,361700,1999277500,253,1833.7,5575,100,5550,7000,2872193366,2872193366,216850599,23000,59000,0,0,0
2026-02-13,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5575,5600,5600,5500,5500,-75,72400,401935000,86,1817.2,5600,4800,5500,46500,2872193366,2872193366,216850599,5200,400,0,0,0
2026-02-12,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5700,5700,5750,5550,5575,-125,241700,1353390000,145,1842.0,5600,1700,5575,4200,2872193366,2872193366,216850599,5000,2700,0,0,0
2026-02-11,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5600,5725,5950,5600,5700,100,97800,557475000,209,1883.3,5700,24400,5650,11600,2872193366,2872193366,216850599,1200,19900,0,0,0
2026-02-10,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5575,5575,5600,5500,5600,25,193700,1070330000,132,1850.3,5600,17200,5550,300,2872193366,2872193366,216850599,8000,32600,0,0,0
2026-02-09,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5500,5550,5625,5500,5575,75,412800,2278175000,188,1842.0,5575,2400,5550,2700,2872193366,2872193366,216850599,10800,69500,0,0,0
2026-02-06,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5600,5550,5700,5250,5500,-100,194700,1076467500,194,1817.2,5575,7500,5500,83000,2872193366,2872193366,216850599,22500,41300,0,0,0
2026-02-05,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5500,0,5800,5450,5600,100,448400,2512395000,347,1850.3,5600,104100,5500,89800,2872193366,2872193366,216850599,19900,63200,0,0,0
2026-02-04,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5550,5750,5750,5300,5500,-50,275200,1512620000,502,1817.2,5500,6700,5425,200,2872193366,2872193366,216850599,14000,73500,0,0,0
2026-02-03,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5375,5500,5675,5200,5550,175,470300,2577922500,314,1833.7,5575,100,5500,17200,2872193366,2872193366,216850599,24800,42700,0,0,0
2026-02-02,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,6275,6400,6400,5350,5375,-900,1279400,7116462500,1104,1775.9,5450,2000,5375,7500,2872193366,2872193366,216850599,245000,78100,0,0,0
2026-01-30,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5575,5600,6275,5500,6275,700,646400,3893495000,585,2073.3,6300,3800,6275,1600,2872193366,2872193366,216850599,12900,47400,163700,1003481000,1
2026-01-29,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5400,5400,6000,4590,5575,175,639600,3364577500,777,1842.0,5550,3800,5525,400,2872193366,2872193366,216850599,94100,73900,0,0,0
2026-01-28,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,6175,6150,6150,5300,5400,-775,722100,4078730000,838,1784.2,5450,400,5400,4100,2872193366,2872193366,216850599,61400,144000,0,0,0
2026-01-27,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5500,5800,6600,5625,6175,675,2169900,13579750000,2651,2040.2,6175,20700,6125,2000,2872193366,2872193366,216850599,192800,93700,0,0,0
2026-01-26,SMAR,Sinar Mas Agro Resources and Technology Tbk.,--UO1135000000D232------------,5600,5600,5600,5450,5500,-100,78700,435947500,142,1817.2,5500,3900,5475,5100,2872193366,2872193366,216850599,21500,11700,0,0,0
