Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,91,92,95,89,91,0,12820600,1167069700,610,86.7,92,75200,91,1049000,8750000000,8750000000,1750000000,2007000,1267100,0,0,0
2026-03-11,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,92,93,96,91,91,-1,11715900,1092750700,634,86.7,93,268700,91,314800,8750000000,8750000000,1750000000,5433300,641900,198007900,23760948000,3
2026-03-10,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,90,94,95,89,92,2,17727200,1629014500,1559,87.6,93,99200,92,53100,8750000000,8750000000,1750000000,7308400,1208000,61800000,5747400000,1
2026-03-09,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,100,93,94,87,90,-10,40066600,3654853000,1557,85.7,91,541300,90,566300,8750000000,8750000000,1750000000,8309900,5940600,9000000,828000000,1
2026-03-06,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,102,104,105,98,100,-2,22292400,2224890800,1260,95.2,101,427200,100,303800,8750000000,8750000000,1750000000,3111200,2352500,275900000,31950000000,5
2026-03-05,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,103,105,106,102,102,-1,13711300,1424820400,774,97.1,102,434700,101,279600,8750000000,8750000000,1750000000,3291100,400000,69207900,7266829500,3
2026-03-04,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,110,110,111,100,103,-7,26746400,2742204500,1558,98.1,103,377100,102,4073600,8750000000,8750000000,1750000000,6438900,2490200,110000000,11550000000,5
2026-03-03,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,102,102,112,102,110,8,33042500,3517688500,1532,104.8,110,1628900,108,23200,8750000000,8750000000,1750000000,7931900,3887500,94100000,9880500000,6
2026-03-02,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,109,104,107,100,102,-7,48286100,4966201900,2093,97.1,103,644200,102,1570000,8750000000,8750000000,1750000000,5102600,3894700,3665000,398125000,2
2026-02-27,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,110,108,110,106,109,-1,12270000,1327544100,807,103.8,110,52200,109,491900,8750000000,8750000000,1750000000,83900,3248200,8500000,918000000,1
2026-02-26,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,115,115,116,109,110,-5,22809400,2542632500,1474,104.8,110,269000,109,1432200,8750000000,8750000000,1750000000,3235000,3744500,0,0,0
2026-02-25,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,113,113,116,112,115,2,13247600,1509089000,885,109.5,116,1161200,115,1154700,8750000000,8750000000,1750000000,635100,2754400,0,0,0
2026-02-24,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,118,118,118,112,113,-5,22839700,2612829200,1406,107.6,113,500400,112,1495900,8750000000,8750000000,1750000000,3272800,2682700,2500000,292500000,1
2026-02-23,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,114,114,119,113,118,4,25686000,2978007400,1457,112.4,118,1558300,117,85300,8750000000,8750000000,1750000000,2707900,6259100,0,0,0
2026-02-20,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,117,117,118,112,114,-3,19058300,2175255200,1311,108.6,114,68100,113,1476100,8750000000,8750000000,1750000000,4524400,180600,0,0,0
2026-02-19,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,112,112,120,112,117,5,44008100,5109927300,2821,111.4,117,1238900,116,1700,8750000000,8750000000,1750000000,3813800,4151000,0,0,0
2026-02-18,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,111,111,113,110,112,1,21649800,2407118000,1106,106.7,112,352800,111,541100,8750000000,8750000000,1750000000,304900,5159800,0,0,0
2026-02-13,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,114,113,114,109,111,-3,18833200,2098162700,1175,105.7,111,759400,110,1832400,8750000000,8750000000,1750000000,1911400,2352300,0,0,0
2026-02-12,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,111,112,115,111,114,3,25709300,2907266700,1557,108.6,114,152500,113,885900,8750000000,8750000000,1750000000,3154300,998600,0,0,0
2026-02-11,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,108,108,113,107,111,3,27061500,2972074800,1654,105.7,111,206500,110,2349600,8750000000,8750000000,1750000000,2118800,7756100,0,0,0
2026-02-10,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,108,108,110,106,108,0,11419100,1231088600,903,102.9,109,1488200,107,5639100,8750000000,8750000000,1750000000,641900,832900,0,0,0
2026-02-09,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,105,106,110,103,108,3,15371900,1623758000,1004,102.9,108,264400,107,29100,8750000000,8750000000,1750000000,2249600,2280700,0,0,0
2026-02-06,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,107,105,108,104,105,-2,14623700,1541249300,946,100.0,106,361800,105,259900,8750000000,8750000000,1750000000,2925100,2315000,0,0,0
2026-02-05,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,109,110,110,105,107,-2,20994100,2247936200,1197,101.9,108,199600,107,112000,8750000000,8750000000,1750000000,3672200,7070900,0,0,0
2026-02-04,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,109,111,112,107,109,0,18069500,1966175500,1204,103.8,110,169400,108,65400,8750000000,8750000000,1750000000,2821000,3743300,1835000,174325000,1
2026-02-03,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,104,111,101,109,6,27822000,2987758500,1584,103.8,110,5900,109,5320600,8750000000,8750000000,1750000000,3359400,7622300,0,0,0
2026-02-02,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,109,108,108,100,103,-6,38153400,3934441900,2208,98.1,104,38400,103,2036400,8750000000,8750000000,1750000000,9184600,7721800,0,0,0
2026-01-30,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,105,107,114,106,109,4,39243200,4302941700,2085,103.8,110,311200,109,41200,8750000000,8750000000,1750000000,12002700,6867900,0,0,0
2026-01-29,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,112,111,112,98,105,-7,102215900,10723930600,3706,100.0,106,180800,105,1518300,8750000000,8750000000,1750000000,16541400,35427400,0,0,0
2026-01-28,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,122,118,119,106,112,-10,150453800,16842966400,6297,106.7,112,1072700,111,553300,8750000000,8750000000,1750000000,18443100,44323400,0,0,0
2026-01-27,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,136,135,135,122,122,-14,199454800,25140138900,10220,116.2,122,3419900,121,3259700,8750000000,8750000000,1750000000,29694600,15786200,0,0,0
2026-01-26,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,121,124,136,123,136,15,325330800,42287654100,16195,129.5,137,1043900,136,4320600,8750000000,8750000000,1750000000,70904900,35230400,0,0,0
2026-01-23,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,124,125,127,118,121,-3,83534500,10164560200,3430,115.2,122,1000,121,2981300,8750000000,8750000000,1750000000,16819300,26599300,0,0,0
2026-01-22,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,117,119,127,117,124,7,101611100,12586886000,4759,118.1,124,1648000,123,391200,8750000000,8750000000,1750000000,5887200,32662200,0,0,0
2026-01-21,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,122,122,122,117,117,-5,44615200,5278565200,2285,111.4,118,367500,117,294500,8750000000,8750000000,1750000000,1626400,7864500,0,0,0
2026-01-20,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,122,125,125,120,122,0,30242400,3679325500,1658,116.2,122,710700,121,515300,8750000000,8750000000,1750000000,2500300,6183900,0,0,0
2026-01-19,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,124,121,122,116,122,-2,67300800,7980866000,4333,116.2,122,403800,121,151400,8750000000,8750000000,1750000000,8550500,17175800,2000000,242000000,1
2026-01-15,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,125,129,130,122,124,-1,89151600,11282449400,4441,118.1,124,186200,123,1206400,8750000000,8750000000,1750000000,31697000,512100,0,0,0
2026-01-14,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,123,123,127,120,125,2,72266300,9000472400,3769,119.0,125,2391100,124,949600,8750000000,8750000000,1750000000,9892200,23732700,0,0,0
2026-01-13,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,122,123,126,121,123,1,71884000,8869442100,4385,117.1,123,2325900,122,1412800,8750000000,8750000000,1750000000,10244300,16786200,0,0,0
2026-01-12,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,121,123,127,118,122,1,125884900,15378111300,6005,116.2,122,73200,121,632300,8750000000,8750000000,1750000000,17581700,31811900,0,0,0
2026-01-09,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,120,121,124,118,121,1,62912100,7613928700,4848,115.2,122,1495000,121,3400,8750000000,8750000000,1750000000,5849200,9936200,0,0,0
2026-01-08,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,122,123,124,117,120,-2,84921000,10212638200,5533,114.3,120,49900,119,235900,8750000000,8750000000,1750000000,7935900,23943100,0,0,0
2026-01-07,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,128,135,147,120,122,-6,534780300,71335939900,31654,116.2,123,3826600,122,1968900,8750000000,8750000000,1750000000,71421200,51330300,47707900,6535982300,1
2026-01-06,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,112,114,130,112,128,16,440802400,53405107800,19471,121.9,129,256900,128,2678400,8750000000,8750000000,1750000000,86428200,89867400,0,0,0
2026-01-05,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,108,108,112,105,112,4,57589400,6283104000,2558,106.7,112,5135100,111,1487800,8750000000,8750000000,1750000000,2372900,17925300,0,0,0
2026-01-02,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,105,105,109,104,108,3,39785700,4274124200,2057,102.9,108,367500,107,880800,8750000000,8750000000,1750000000,1602700,10325900,0,0,0
2025-12-30,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,103,105,102,105,2,19087600,1985367300,1076,100.0,105,325000,104,34100,8750000000,8750000000,1750000000,710400,3710700,29000000,2987000000,1
2025-12-29,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,102,102,104,100,103,1,25768400,2618876700,1565,98.1,104,1512500,103,304600,8750000000,8750000000,1750000000,630000,3713400,21000000,2142000000,1
2025-12-24,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,107,107,107,102,102,-5,27305800,2819858300,1649,97.1,103,704600,102,1524100,8750000000,8750000000,1750000000,3900100,419400,77800000,8169000000,1
2025-12-23,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,102,108,102,107,4,50142000,5292606800,2696,101.9,107,2205800,106,2746600,8750000000,8750000000,1750000000,9146600,12927000,103500000,10660500000,2
2025-12-22,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,103,104,101,103,0,12821500,1310167800,929,98.1,103,2612300,102,101100,8750000000,8750000000,1750000000,207100,954100,137000000,14111000000,3
2025-12-19,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,103,103,100,103,0,20193200,2046881400,1214,98.1,103,1805200,102,42300,8750000000,8750000000,1750000000,2476400,31400,416007900,49920948000,3
2025-12-18,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,104,104,104,102,103,-1,12213100,1259862000,1011,98.1,104,1266100,103,1663400,8750000000,8750000000,1750000000,4454000,53200,0,0,0
2025-12-17,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,104,106,102,104,1,31022200,3227618200,1737,99.0,105,976000,104,800400,8750000000,8750000000,1750000000,311100,5059900,0,0,0
2025-12-16,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,104,104,104,102,103,-1,13988300,1435367600,949,98.1,103,279000,102,1846700,8750000000,8750000000,1750000000,143600,206200,0,0,0
2025-12-15,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,104,104,105,101,104,0,28531100,2945679900,1462,99.0,104,1555300,103,122200,8750000000,8750000000,1750000000,1012100,2759400,0,0,0
2025-12-12,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,104,104,101,104,1,22962800,2359676800,1433,99.0,104,1348400,103,3426700,8750000000,8750000000,1750000000,1262400,1932800,0,0,0
2025-12-11,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,105,105,105,102,103,-2,36188500,3733050100,2234,98.1,103,504000,102,1490400,8750000000,8750000000,1750000000,2480900,3172300,0,0,0
2025-12-10,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,107,108,109,105,105,-2,36418700,3852491300,2063,100.0,105,1317400,104,5391700,8750000000,8750000000,1750000000,3324200,388600,0,0,0
2025-12-09,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,108,108,111,107,107,-1,29668400,3215690300,1518,101.9,108,187800,107,2108600,8750000000,8750000000,1750000000,5871800,2686300,0,0,0
2025-12-08,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,109,110,110,107,108,-1,34619400,3737715300,1832,102.9,109,902800,108,112400,8750000000,8750000000,1750000000,2950600,4427400,0,0,0
2025-12-05,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,110,110,114,109,109,-1,55365800,6160335900,2441,103.8,110,160000,109,5519400,8750000000,8750000000,1750000000,7463600,7507100,0,0,0
2025-12-04,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,107,108,111,106,110,3,48760400,5302121900,2473,104.8,110,1722800,109,333100,8750000000,8750000000,1750000000,5251200,8769000,0,0,0
2025-12-03,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,111,112,112,107,107,-4,50941800,5565786800,2819,101.9,108,735100,107,1924800,8750000000,8750000000,1750000000,1774600,4315300,0,0,0
2025-12-02,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,111,111,113,106,111,0,68072300,7486258200,3893,105.7,111,1390500,110,2936700,8750000000,8750000000,1750000000,6136000,4976200,0,0,0
2025-12-01,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,115,116,117,110,111,-4,91907700,10292204200,5296,105.7,112,428300,110,6836900,8750000000,8750000000,1750000000,9982600,1261500,0,0,0
2025-11-28,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,104,105,115,103,115,11,207262200,22804574000,9327,109.5,116,2465300,115,3478700,8750000000,8750000000,1750000000,24378700,24081000,0,0,0
2025-11-27,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,103,103,106,102,104,1,44960800,4689933300,2232,99.0,105,2473400,104,629200,8750000000,8750000000,1750000000,5120300,7629800,0,0,0
2025-11-26,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,101,101,104,100,103,2,61688000,6319012100,1983,98.1,103,1231700,102,1714300,8750000000,8750000000,1750000000,7653900,11532500,0,0,0
2025-11-25,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,101,101,102,99,101,0,29879400,3009212100,1860,96.2,102,4607100,101,702000,8750000000,8750000000,1750000000,726700,3491600,0,0,0
2025-11-24,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2130000000B146------------,102,102,102,100,101,-1,33973400,3419830600,2034,96.2,101,1013200,100,7796900,8750000000,8750000000,1750000000,1588100,404700,0,0,0
2025-11-22,SMGA,Sumber Mineral Global Abadi Tbk.,--UO2135000000B146------------,100,93,94,87,90,-10,40066600,3654853000,1557,85.7,91,541300,90,566300,8750000000,8750000000,1750000000,8309900,5940600,9000000,828000000,1
