Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1220,1225,1310,1210,1235,15,223400,276427000,154,2889.3,1260,100,1235,50600,3425000000,3425000000,393875000,38200,10200,0,0,0
2026-03-09,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1265,1300,1300,1160,1220,-45,153800,189837000,192,2854.2,1220,9900,1215,67400,3425000000,3425000000,393875000,21100,17200,0,0,0
2026-03-06,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1200,1245,1350,1150,1265,65,287800,364515000,228,2959.5,1300,1900,1265,300,3425000000,3425000000,393875000,24100,86000,0,0,0
2026-03-05,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1165,0,1230,1150,1200,35,84200,101132000,98,2807.4,1225,100,1200,499600,3425000000,3425000000,393875000,10500,13400,0,0,0
2026-03-04,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1255,0,1345,1155,1165,-90,350200,434360000,317,2725.5,1225,1100,1165,200,3425000000,3425000000,393875000,43600,44600,0,0,0
2026-03-03,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1225,1250,1320,1240,1255,30,499800,630721500,465,2936.1,1265,2000,1255,202400,3425000000,3425000000,393875000,70900,51300,0,0,0
2026-03-02,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1125,1130,1405,1130,1225,100,3041200,3912165000,2886,2865.9,1230,9400,1225,100,3425000000,3425000000,393875000,655100,190900,0,0,0
2026-02-27,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1110,1110,1165,1110,1125,15,63700,72952000,116,2631.9,1150,1900,1125,60700,3425000000,3425000000,393875000,9500,2100,0,0,0
2026-02-26,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1140,0,1140,1110,1110,-30,263600,293565000,113,2596.9,1135,100,1110,158300,3425000000,3425000000,393875000,19200,11200,0,0,0
2026-02-25,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1160,0,1215,1115,1140,-20,132300,154478500,331,2667.0,1150,200,1135,1300,3425000000,3425000000,393875000,30900,13500,0,0,0
2026-02-24,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1155,1180,1250,1160,1160,5,80300,95259000,101,2713.8,1170,200,1160,6100,3425000000,3425000000,393875000,15400,800,0,0,0
2026-02-23,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1160,1165,1210,1155,1155,-5,176800,208768500,119,2702.1,1195,2100,1155,10700,3425000000,3425000000,393875000,24600,15700,0,0,0
2026-02-20,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1180,1270,1270,1145,1160,-20,136700,162174000,185,2713.8,1185,100,1160,11000,3425000000,3425000000,393875000,14200,16700,0,0,0
2026-02-19,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1155,1295,1320,1180,1180,25,360900,444604500,412,2760.6,1185,700,1180,6500,3425000000,3425000000,393875000,72200,13900,0,0,0
2026-02-18,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1065,1075,1275,1070,1155,90,263900,313061000,480,2702.1,1170,1800,1155,8200,3425000000,3425000000,393875000,51700,12200,0,0,0
2026-02-13,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1060,0,1120,1060,1065,5,70800,76990500,116,2491.6,1115,800,1065,300,3425000000,3425000000,393875000,13900,1800,0,0,0
2026-02-12,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1075,1075,1130,1060,1060,-15,89900,97870000,85,2479.9,1085,600,1060,4400,3425000000,3425000000,393875000,8300,1200,0,0,0
2026-02-11,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1065,1085,1100,1065,1075,10,78200,84380500,75,2515.0,1100,1000,1075,15400,3425000000,3425000000,393875000,7400,1700,0,0,0
2026-02-10,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1070,0,1095,1065,1065,-5,75700,81722000,78,2491.6,1085,400,1065,2600,3425000000,3425000000,393875000,11100,200,0,0,0
2026-02-09,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1060,1070,1100,1060,1070,10,41200,44255500,67,2503.3,1080,1200,1070,2200,3425000000,3425000000,393875000,10000,400,0,0,0
2026-02-06,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1060,1055,1160,1050,1060,0,182300,197573500,211,2479.9,1070,200,1060,9800,3425000000,3425000000,393875000,23200,17200,0,0,0
2026-02-05,SMMT,Golden Eagle Energy Tbk.,--MO2135000000A121------------,1035,1040,1150,1040,1060,25,97300,105594000,208,2479.9,1070,200,1055,200,3425000000,3425000000,393875000,16300,2500,0,0,0
