Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-09,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2320,0,2320,2140,2320,0,19900,45557000,38,449.9,2310,300,2160,500,662400000,662400000,50209920,200,0,0,0,0
2026-03-06,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2270,0,2320,2270,2320,50,7500,17169000,14,449.9,2310,1500,2130,500,662400000,662400000,50209920,0,0,0,0,0
2026-03-05,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2150,0,2280,2190,2270,120,7000,15645000,16,440.2,2280,2400,2210,800,662400000,662400000,50209920,0,0,0,0,0
2026-03-04,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2240,0,2240,2130,2150,-90,45000,97566000,52,417.0,2200,100,2150,1700,662400000,662400000,50209920,0,0,0,0,0
2026-03-03,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2280,0,2270,2210,2240,-40,67000,150323000,39,434.4,2270,1200,2220,100,662400000,662400000,50209920,0,0,0,0,0
2026-03-02,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2350,2350,2350,2240,2280,-70,26300,60340000,40,442.2,2330,100,2270,13700,662400000,662400000,50209920,0,0,0,0,0
2026-02-27,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2330,0,2360,2280,2350,20,150300,349272000,38,455.8,2350,500,2330,200,662400000,662400000,50209920,0,7400,0,0,0
2026-02-26,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2380,0,2430,2200,2330,-50,109700,257322000,60,451.9,2320,800,2280,800,662400000,662400000,50209920,8200,0,0,0,0
2026-02-25,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2360,0,2450,2250,2380,20,117700,283714000,89,461.6,2390,10900,2340,500,662400000,662400000,50209920,1700,0,0,0,0
2026-02-24,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2340,0,2390,2280,2360,20,35100,81885000,48,457.7,2370,2300,2360,300,662400000,662400000,50209920,700,0,0,0,0
2026-02-23,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2220,0,2350,2200,2340,120,51900,119591000,82,453.8,2350,4400,2340,200,662400000,662400000,50209920,100,0,0,0,0
2026-02-20,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2250,2260,2290,2220,2220,-30,24200,54369000,25,430.5,2290,22200,2220,400,662400000,662400000,50209920,0,500,0,0,0
2026-02-19,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2220,0,2450,2210,2250,30,235400,548831000,157,436.4,2290,100,2250,12300,662400000,662400000,50209920,0,0,0,0,0
2026-02-18,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2250,0,2340,2200,2220,-30,15100,33975000,40,430.5,2240,100,2230,400,662400000,662400000,50209920,1500,0,0,0,0
2026-02-13,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2270,0,2310,2250,2250,-20,6200,14082000,13,436.4,2270,1000,2240,500,662400000,662400000,50209920,0,0,0,0,0
2026-02-12,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2290,0,2300,2200,2270,-20,12300,27978000,30,440.2,2280,400,2230,100,662400000,662400000,50209920,0,0,0,0,0
2026-02-11,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2200,0,2320,2200,2290,90,60000,136927000,77,444.1,2290,4700,2250,2200,662400000,662400000,50209920,0,3700,0,0,0
2026-02-10,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2200,2230,2280,2150,2200,0,30000,66724000,76,426.7,2240,100,2200,200,662400000,662400000,50209920,0,2900,0,0,0
2026-02-09,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2440,2400,2450,2100,2200,-240,442200,981746000,558,426.7,2210,2400,2190,1700,662400000,662400000,50209920,15200,27400,0,0,0
2026-02-06,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2420,2430,2490,2350,2440,20,379400,923280000,511,473.2,2440,55900,2390,30000,662400000,662400000,50209920,8900,0,0,0,0
2026-02-05,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2310,2330,2470,2210,2420,110,233800,550814000,535,469.3,2420,95300,2410,100,662400000,662400000,50209920,0,3400,0,0,0
2026-02-04,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2030,0,2490,1970,2310,280,179800,397571000,441,448.0,2310,53300,2300,100,662400000,662400000,50209920,6900,1900,0,0,0
2026-02-03,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,1965,0,2040,1925,2030,65,26300,51554500,21,393.7,2050,100,1990,100,662400000,662400000,50209920,0,0,0,0,0
2026-02-02,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2230,2230,2230,1940,1965,-265,15900,32177500,37,381.1,2120,200,1970,600,662400000,662400000,50209920,4500,0,0,0,0
2026-01-30,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2210,2230,2270,2110,2230,20,14500,31421000,72,432.5,2230,1600,2130,400,662400000,662400000,50209920,1600,0,0,0,0
2026-01-29,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2030,0,2470,1730,2210,180,106800,205781000,230,428.6,2210,500,2200,400,662400000,662400000,50209920,1600,0,0,0,0
2026-01-28,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2260,2230,2230,1925,2030,-230,307300,620114500,177,393.7,2030,800,1980,800,662400000,662400000,50209920,0,3800,0,0,0
2026-01-27,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2330,0,2340,2240,2260,-70,15400,35143000,21,438.3,2340,1600,2260,1000,662400000,662400000,50209920,8800,0,0,0,0
2026-01-26,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2300,2350,2390,2220,2330,30,51200,117382000,53,451.9,2330,1000,2320,100,662400000,662400000,50209920,5800,0,0,0,0
2026-01-23,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2370,2370,2370,2290,2300,-70,61300,141002000,34,446.1,2330,100,2290,600,662400000,662400000,50209920,0,0,0,0,0
2026-01-22,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2360,0,2390,2320,2370,10,28600,67285000,26,459.6,2370,700,2340,200,662400000,662400000,50209920,0,0,0,0,0
2026-01-21,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2380,0,2390,2320,2360,-20,12000,28114000,36,457.7,2380,3000,2360,1000,662400000,662400000,50209920,0,0,0,0,0
2026-01-20,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2420,0,2440,2380,2380,-40,66600,160010000,60,461.6,2380,5600,2370,400,662400000,662400000,50209920,0,0,0,0,0
2026-01-19,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2400,2360,2440,2300,2420,20,140300,337600000,107,469.3,2420,5300,2410,1600,662400000,662400000,50209920,4400,0,0,0,0
2026-01-15,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2390,2380,2400,2260,2400,10,90600,211781000,78,465.5,2380,100,2290,300,662400000,662400000,50209920,0,30000,0,0,0
2026-01-14,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2270,2270,2420,2200,2390,120,104800,246630000,127,463.5,2390,3200,2370,10000,662400000,662400000,50209920,29100,0,0,0,0
2026-01-13,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2340,0,2380,2230,2270,-70,67200,153104000,105,440.2,2270,500,2240,600,662400000,662400000,50209920,0,2600,0,0,0
2026-01-12,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2350,0,2360,2300,2340,-10,13200,30853000,28,453.8,2340,300,2300,600,662400000,662400000,50209920,6400,0,0,0,0
2026-01-09,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2350,0,2360,2250,2350,0,22100,51174000,40,455.8,2350,1000,2300,1000,662400000,662400000,50209920,0,0,0,0,0
2026-01-08,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2380,0,2450,2300,2350,-30,57600,136699000,94,455.8,2360,100,2350,3500,662400000,662400000,50209920,0,8400,0,0,0
2026-01-07,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2270,2310,2410,2270,2380,110,68700,161803000,134,461.6,2390,1200,2360,400,662400000,662400000,50209920,5200,17400,0,0,0
2026-01-06,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2160,0,2350,2130,2270,110,47900,107606000,100,440.2,2290,700,2270,2000,662400000,662400000,50209920,800,0,0,0,0
2026-01-05,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2140,0,2180,2100,2160,20,31800,67823000,72,418.9,2180,300,2160,1000,662400000,662400000,50209920,0,2000,0,0,0
2026-01-02,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2130,0,2200,2110,2140,10,50100,107726000,74,415.0,2160,200,2140,5600,662400000,662400000,50209920,0,7300,0,0,0
2025-12-30,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2040,0,2390,2010,2130,90,98200,218199000,198,413.1,2180,200,2130,7000,662400000,662400000,50209920,14000,0,0,0,0
2025-12-29,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2050,2040,2080,2010,2040,-10,18400,37606000,39,395.6,2080,1200,2060,400,662400000,662400000,50209920,0,0,0,0,0
2025-12-24,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2100,2100,2100,2030,2050,-50,24800,51192000,65,397.6,2050,900,2030,800,662400000,662400000,50209920,500,0,0,0,0
2025-12-23,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2160,0,2160,2000,2100,-60,79900,164976000,110,407.3,2100,4400,2030,100,662400000,662400000,50209920,0,4800,0,0,0
2025-12-22,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2250,2250,2250,2150,2160,-90,9400,20651000,34,418.9,2240,2300,2160,1200,662400000,662400000,50209920,0,0,0,0,0
2025-12-19,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2250,2290,2300,2190,2250,0,39300,87945000,67,436.4,2250,12600,2210,100,662400000,662400000,50209920,9500,7300,0,0,0
2025-12-18,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2140,2140,2420,2110,2250,110,117700,264362000,289,436.4,2270,300,2250,100,662400000,662400000,50209920,2400,22900,0,0,0
2025-12-17,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2130,0,2180,2110,2140,10,17000,36337000,43,415.0,2140,700,2130,800,662400000,662400000,50209920,0,0,0,0,0
2025-12-16,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2180,2180,2180,2100,2130,-50,34600,73373000,116,413.1,2130,10700,2120,9700,662400000,662400000,50209920,100,6200,0,0,0
2025-12-15,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2220,0,2230,2160,2180,-40,46600,101869000,55,422.8,2180,4200,2170,300,662400000,662400000,50209920,0,0,0,0,0
2025-12-12,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2230,0,2250,2120,2220,-10,34400,74916000,76,430.5,2230,1600,2160,100,662400000,662400000,50209920,2600,200,0,0,0
2025-12-11,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2320,0,2350,2210,2230,-90,45800,102773000,80,432.5,2250,100,2220,14200,662400000,662400000,50209920,10200,0,0,0,0
2025-12-10,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2390,0,2390,2300,2320,-70,7100,16542000,39,449.9,2340,100,2320,200,662400000,662400000,50209920,300,0,0,0,0
2025-12-09,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2360,0,2390,2320,2390,30,16500,38800000,40,463.5,2390,2200,2330,4000,662400000,662400000,50209920,2800,0,0,0,0
2025-12-08,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2290,0,2400,2290,2360,70,33400,77831000,58,457.7,2370,11000,2350,700,662400000,662400000,50209920,100,10000,0,0,0
2025-12-05,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2300,2300,2300,2290,2290,-10,12200,28009000,30,444.1,2300,2600,2290,1200,662400000,662400000,50209920,0,2900,0,0,0
2025-12-04,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2290,0,2310,2270,2300,10,20900,47752000,38,446.1,2300,900,2280,1000,662400000,662400000,50209920,0,13200,0,0,0
2025-12-03,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2290,0,2340,2250,2290,0,39900,91073000,87,444.1,2290,1900,2260,4600,662400000,662400000,50209920,4200,0,0,0,0
2025-12-02,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2350,2350,2360,2100,2290,-60,65000,149453000,100,444.1,2300,800,2290,2500,662400000,662400000,50209920,0,0,0,0,0
2025-12-01,SONA,Sona Topas Tourism Industry Tbk.,--UO2135000000E731------------,2400,2430,2430,2330,2350,-50,85100,200843000,101,455.8,2400,300,2350,400,662400000,662400000,50209920,0,1000,0,0,0
