Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-12,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,62,63,70,60,63,1,14977200,987416100,1345,17.5,64,130800,63,77900,1098920000,1098920000,323082480,552000,157400,0,0,0
2026-03-11,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,59,59,65,58,62,3,4689800,291843800,470,17.2,62,116300,61,45800,1098920000,1098920000,323082480,57500,1600,0,0,0
2026-03-10,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,59,59,62,59,59,0,3422800,205095100,268,16.4,60,28400,59,700,1098920000,1098920000,323082480,0,75700,0,0,0
2026-03-09,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,67,67,67,58,59,-8,5182800,310561600,440,16.4,59,238900,58,561800,1098920000,1098920000,323082480,26600,254900,0,0,0
2026-03-06,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,70,70,70,66,67,-3,3726500,248878100,274,18.6,67,488200,66,677000,1098920000,1098920000,323082480,0,0,0,0,0
2026-03-05,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,72,72,74,64,70,-2,22251100,1577548800,8509,19.4,71,126400,70,91200,1098920000,1098920000,323082480,489300,227200,0,0,0
2026-03-04,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,73,73,73,64,72,-1,16718600,1117951100,835,20.0,72,1416000,71,9146300,1098920000,1098920000,323082480,186400,252000,0,0,0
2026-03-03,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,73,72,76,72,73,0,3227200,236335800,216,20.3,74,481600,73,1190900,1098920000,1098920000,323082480,0,48600,0,0,0
2026-03-02,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,79,75,77,73,73,-6,9302700,694179600,639,20.3,73,429800,72,676900,1098920000,1098920000,323082480,229100,271700,0,0,0
2026-02-27,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,80,80,80,75,79,-1,7700300,595432500,447,21.9,79,3700,78,7900,1098920000,1098920000,323082480,60200,250000,0,0,0
2026-02-26,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,82,83,83,79,80,-2,8735100,705468800,752,22.2,81,1025200,80,2500,1098920000,1098920000,323082480,468700,91200,0,0,0
2026-02-25,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,84,86,87,82,82,-2,22765200,1913878200,1980,22.8,82,98200,81,1109900,1098920000,1098920000,323082480,1017100,334300,0,0,0
2026-02-24,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,80,82,88,80,84,4,44773400,3723707600,2378,23.3,84,20900,83,890600,1098920000,1098920000,323082480,753700,1450600,0,0,0
2026-02-23,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,78,78,82,77,80,2,16508800,1313598000,1128,22.2,80,61300,79,2319000,1098920000,1098920000,323082480,377400,47800,0,0,0
2026-02-20,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,76,77,83,76,78,2,49323700,3929474800,3240,21.7,78,440600,77,645800,1098920000,1098920000,323082480,673500,963700,0,0,0
2026-02-19,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,76,76,78,75,76,0,5538300,424678500,601,21.1,77,132300,76,852700,1098920000,1098920000,323082480,65600,99500,0,0,0
2026-02-18,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,77,77,77,75,76,-1,9647100,730686200,577,21.1,77,1653500,76,208400,1098920000,1098920000,323082480,3000,455700,0,0,0
2026-02-13,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,77,77,80,76,77,0,24841200,1949136000,6345,21.4,77,117100,76,936100,1098920000,1098920000,323082480,372300,9200,0,0,0
2026-02-12,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,77,77,78,76,77,0,2966400,227301800,566,21.4,77,1261000,76,1680300,1098920000,1098920000,323082480,21800,32700,0,0,0
2026-02-11,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,77,77,78,75,77,0,7457700,569029100,631,21.4,77,826200,76,636800,1098920000,1098920000,323082480,17300,347100,0,0,0
2026-02-10,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,75,74,80,74,77,2,22151900,1716977600,10760,21.4,77,606000,76,2100,1098920000,1098920000,323082480,100800,25400,0,0,0
2026-02-09,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,75,76,78,73,75,0,4134400,308436200,401,20.8,75,133200,74,692200,1098920000,1098920000,323082480,16200,30500,0,0,0
2026-02-06,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,76,76,80,75,75,-1,8619900,661588700,845,20.8,76,318600,75,1349000,1098920000,1098920000,323082480,58900,22200,0,0,0
2026-02-05,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,76,75,82,75,76,0,22327300,1756024000,1179,21.1,77,136800,76,1815500,1098920000,1098920000,323082480,22100,65100,0,0,0
2026-02-04,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,77,76,77,74,76,-1,5450300,411491100,387,21.1,77,1212500,76,96300,1098920000,1098920000,323082480,42600,0,0,0,0
2026-02-03,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,75,75,79,73,77,2,14312100,1091187900,5935,21.4,77,835600,76,1465600,1098920000,1098920000,323082480,11300,35600,0,0,0
2026-02-02,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,79,78,79,71,75,-4,8868000,662593500,621,20.8,75,1003400,74,1427500,1098920000,1098920000,323082480,183300,55300,0,0,0
2026-01-30,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,74,74,82,74,79,5,13754100,1082913500,1126,21.9,79,181400,78,998700,1098920000,1098920000,323082480,157500,67800,0,0,0
2026-01-29,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,84,84,84,72,74,-10,41218400,3092146300,2215,20.6,75,710100,74,16800,1098920000,1098920000,323082480,245100,183100,0,0,0
2026-01-28,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,96,88,89,82,84,-12,70701100,5966665900,4107,23.3,85,970800,84,163600,1098920000,1098920000,323082480,212400,437600,0,0,0
2026-01-27,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,83,83,97,82,96,13,264957000,24057441200,12932,26.7,97,1952400,96,21038100,1098920000,1098920000,323082480,79700,92900,0,0,0
2026-01-26,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,83,84,87,81,83,0,38821800,3236892800,2369,23.1,84,437000,83,19300,1098920000,1098920000,323082480,20900,87200,0,0,0
2026-01-23,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,84,84,107,83,83,-1,539114700,51793936400,24786,23.1,84,1085200,83,177900,1098920000,1098920000,323082480,538000,110900,0,0,0
2026-01-22,TAYS,Jaya Swarasa Agung Tbk.,--UO2100000000D222------------,84,83,89,82,84,0,41652600,3566507200,2269,23.3,85,809600,84,123900,1098920000,1098920000,323082480,0,80000,0,0,0
