Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,334,0,382,342,378,44,13400,4818000,18,482.4,380,30700,378,200,3552213000,3552213000,266415975,600,5300,0,0,0
2026-03-10,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,332,332,346,332,334,2,74400,24762600,33,426.2,334,2000,328,300,3552213000,3552213000,266415975,0,22300,0,0,0
2026-03-09,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,352,344,348,332,332,-20,11600,3916600,25,423.7,340,100,332,7700,3552213000,3552213000,266415975,0,0,0,0,0
2026-03-06,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,360,0,374,306,352,-8,94800,31958000,104,449.2,352,900,338,100,3552213000,3552213000,266415975,200,0,0,0,0
2026-03-05,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,344,0,380,346,360,16,5500,2017800,22,459.4,358,500,352,100,3552213000,3552213000,266415975,0,0,0,0,0
2026-03-04,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,352,352,352,340,344,-8,31600,10945000,33,439.0,344,300,342,100,3552213000,3552213000,266415975,0,6300,0,0,0
2026-03-03,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,368,0,366,340,352,-16,30400,10649400,42,449.2,352,700,346,5000,3552213000,3552213000,266415975,0,5000,0,0,0
2026-03-02,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,380,0,392,336,368,-12,41900,15041200,68,469.6,368,1100,350,1100,3552213000,3552213000,266415975,0,6800,0,0,0
2026-02-27,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,378,378,382,372,380,2,13100,4905600,23,484.9,380,67400,376,900,3552213000,3552213000,266415975,0,0,0,0,0
2026-02-26,TIFA,KDB Tifa Finance Tbk.,--UO2105000000G211------------,378,0,400,378,378,0,31300,12087800,71,482.4,384,500,378,10700,3552213000,3552213000,266415975,500,0,0,0,0
