Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1035,0,1080,975,1070,35,39300,40927500,44,480.2,1070,3400,990,100,588000000,588000000,104076000,0,0,2000000,2000000000,1
2026-03-09,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1020,0,1035,935,1035,15,80000,78630000,45,464.5,1010,200,940,2300,588000000,588000000,104076000,0,0,0,0,0
2026-03-06,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1035,0,1020,985,1020,-15,34800,34932500,15,457.8,1020,5200,985,1300,588000000,588000000,104076000,0,0,0,0,0
2026-03-05,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1040,0,1050,985,1035,-5,14100,14390000,42,464.5,1035,300,1015,700,588000000,588000000,104076000,0,0,9000000,9000000000,2
2026-03-04,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1080,0,1075,960,1040,-40,91500,94028500,58,466.8,1040,8900,1000,400,588000000,588000000,104076000,0,0,0,0,0
2026-03-03,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1040,0,1120,995,1080,40,129500,137686000,217,484.7,1080,23300,1010,1000,588000000,588000000,104076000,11400,20300,0,0,0
2026-03-02,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1075,1075,1075,995,1040,-35,24400,24846500,74,466.8,1040,22500,1000,700,588000000,588000000,104076000,0,2600,0,0,0
2026-02-27,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1070,0,1075,1040,1075,5,11500,12281500,31,482.5,1075,1100,1035,500,588000000,588000000,104076000,0,0,0,0,0
2026-02-26,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1100,1130,1130,1055,1070,-30,172400,183806000,84,480.2,1065,100,1050,3100,588000000,588000000,104076000,0,0,0,0,0
2026-02-25,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1085,0,1150,1050,1100,15,121900,133967500,211,493.7,1095,4900,1085,1000,588000000,588000000,104076000,0,0,0,0,0
2026-02-24,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1100,1110,1110,1050,1085,-15,62400,67331500,85,487.0,1085,1900,1065,200,588000000,588000000,104076000,0,0,0,0,0
2026-02-23,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1150,0,1145,1050,1100,-50,144500,155261000,265,493.7,1100,4600,1090,300,588000000,588000000,104076000,2600,3800,0,0,0
2026-02-20,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1150,0,1150,1100,1150,0,41700,46936000,87,516.1,1145,3100,1110,1100,588000000,588000000,104076000,0,0,0,0,0
2026-02-19,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1140,0,1165,1060,1150,10,82200,91943000,172,516.1,1150,900,1125,100,588000000,588000000,104076000,0,0,238500,487255500,1
2026-02-18,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1150,1160,1160,1070,1140,-10,198100,223095500,205,511.6,1140,14600,1135,400,588000000,588000000,104076000,0,17500,0,0,0
2026-02-13,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1150,1160,1290,1115,1150,0,1487800,1749346000,707,516.1,1150,6900,1125,3200,588000000,588000000,104076000,13300,0,0,0,0
2026-02-12,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1155,0,1160,1120,1150,-5,28000,31940000,54,516.1,1150,2000,1135,300,588000000,588000000,104076000,8000,0,0,0,0
2026-02-11,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1165,1185,1185,1115,1155,-10,48000,54514500,159,518.4,1155,1300,1130,100,588000000,588000000,104076000,0,0,0,0,0
2026-02-10,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1195,1140,1195,1120,1165,-30,1023500,1181523500,108,522.9,1165,200,1160,1900,588000000,588000000,104076000,0,0,0,0,0
2026-02-09,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1170,0,1200,1130,1195,25,14100,16337500,59,536.3,1180,100,1150,200,588000000,588000000,104076000,0,0,0,0,0
2026-02-06,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1190,1185,1200,1110,1170,-20,18900,21888500,48,525.1,1160,2100,1135,500,588000000,588000000,104076000,0,0,0,0,0
2026-02-05,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1205,1220,1220,1120,1190,-15,11800,13935500,35,534.1,1170,1000,1120,100,588000000,588000000,104076000,0,0,0,0,0
2026-02-04,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,1200,0,1245,1135,1205,5,26700,31865500,66,540.8,1205,9300,1200,500,588000000,588000000,104076000,0,0,0,0,0
2026-02-03,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1200,1200,1200,1105,1200,0,113900,132927500,204,538.6,1200,3500,1135,900,588000000,588000000,104076000,0,4300,0,0,0
2026-02-02,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1125,1230,1340,1045,1200,75,306300,358071500,464,538.6,1200,11000,1170,600,588000000,588000000,104076000,4700,16400,0,0,0
2026-01-30,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1245,1300,1300,1125,1125,-120,60200,73902000,32,504.9,1255,2100,1125,10600,588000000,588000000,104076000,0,0,0,0,0
2026-01-29,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1265,1265,1265,1080,1245,-20,45900,52665000,60,558.8,1250,5100,1240,500,588000000,588000000,104076000,0,5300,0,0,0
2026-01-28,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1255,1290,1290,1205,1265,10,79200,99469500,92,567.7,1220,300,1215,300,588000000,588000000,104076000,0,0,0,0,0
2026-01-27,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1290,0,1300,1230,1255,-35,158900,202231000,117,563.3,1290,5000,1255,1200,588000000,588000000,104076000,0,0,0,0,0
2026-01-26,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1290,1310,1315,1255,1290,0,53900,68886500,53,579.0,1285,500,1265,200,588000000,588000000,104076000,0,0,0,0,0
2026-01-23,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1305,0,1340,1220,1290,-15,71700,90717500,154,579.0,1290,20000,1270,100,588000000,588000000,104076000,0,0,0,0,0
2026-01-22,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1280,1300,1320,1280,1305,25,24600,31887000,53,585.7,1305,3100,1285,100,588000000,588000000,104076000,0,0,0,0,0
2026-01-21,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1305,0,1330,1280,1280,-25,53800,69841000,109,574.5,1305,100,1280,1400,588000000,588000000,104076000,0,0,0,0,0
2026-01-20,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1310,1320,1320,1275,1305,-5,326700,425107500,112,585.7,1305,800,1300,200,588000000,588000000,104076000,0,0,0,0,0
2026-01-19,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1295,1325,1330,1280,1310,15,26800,35057500,87,587.9,1310,10500,1290,100,588000000,588000000,104076000,0,0,0,0,0
2026-01-15,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1280,1275,1370,1240,1295,15,197400,259878500,350,581.2,1325,3500,1295,2600,588000000,588000000,104076000,24200,3800,0,0,0
2026-01-14,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1230,1245,1280,1200,1280,50,220300,270797500,84,574.5,1265,400,1205,1000,588000000,588000000,104076000,19200,20400,0,0,0
2026-01-13,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1265,1240,1290,1195,1230,-35,108400,133568000,181,552.0,1230,4800,1190,9800,588000000,588000000,104076000,0,0,0,0,0
2026-01-12,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1250,1250,1300,1235,1265,15,115700,145619000,98,567.7,1265,800,1235,600,588000000,588000000,104076000,4400,11200,0,0,0
2026-01-09,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1290,1295,1305,1240,1250,-40,123500,156865500,98,561.0,1290,3900,1250,3900,588000000,588000000,104076000,4900,0,0,0,0
2026-01-08,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1220,1220,1315,1180,1290,70,322900,404618500,263,579.0,1295,1400,1290,700,588000000,588000000,104076000,15000,32300,0,0,0
2026-01-07,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1220,1245,1245,1165,1220,0,220000,263871000,137,547.5,1220,6200,1190,1600,588000000,588000000,104076000,0,0,0,0,0
2026-01-06,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1235,1275,1275,1185,1220,-15,177800,215555000,154,547.5,1220,6700,1200,100,588000000,588000000,104076000,9200,0,0,0,0
2026-01-05,TIRA,Tira Austenite Tbk,--UO2135000000C211------------,1260,1260,1260,1200,1235,-25,117500,143364000,152,554.3,1235,4200,1205,100,588000000,588000000,104076000,5000,14200,0,0,0
2026-01-02,TIRA,Tira Austenite Tbk,--UO2135000000C211--------F---,1335,1315,1315,1235,1260,-75,120500,151405000,121,565.5,1265,2300,1260,300,588000000,588000000,104076000,0,0,0,0,0
2025-12-30,TIRA,Tira Austenite Tbk,--UO2135000000C211--------F---,1250,1275,1355,1215,1335,85,92000,116962000,88,599.2,1335,65200,1295,100,588000000,588000000,104076000,0,0,0,0,0
2025-12-29,TIRA,Tira Austenite Tbk,--UO2135000000C211--------F---,1280,1280,1280,1200,1250,-30,129800,160429000,120,561.0,1250,24800,1220,200,588000000,588000000,104076000,3500,0,0,0,0
2025-12-24,TIRA,Tira Austenite Tbk,--UO2135000000C211--------F---,1305,0,1305,1265,1280,-25,14700,18878000,25,574.5,1280,2400,1270,100,588000000,588000000,104076000,1100,0,238500,487255500,1
2025-12-23,TIRA,Tira Austenite Tbk,--UO2135000000C211--------F---,1300,0,1305,1250,1305,5,72900,92270500,82,585.7,1305,6800,1255,100,588000000,588000000,104076000,0,0,0,0,0
2025-12-22,TIRA,Tira Austenite Tbk,--UO2135000000C211--------F---,1330,0,1365,1270,1300,-30,22900,29792500,52,583.4,1300,1600,1295,900,588000000,588000000,104076000,0,0,0,0,0
