Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2023-04-05,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-04-04,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-04-03,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-31,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-30,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-29,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-28,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-27,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-24,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-21,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-20,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-17,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-16,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-15,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-14,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-13,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-10,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-09,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-08,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-07,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-06,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-03,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-02,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-03-01,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-28,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-27,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-24,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-23,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-22,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-21,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-20,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-17,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-16,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-15,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-14,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-13,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-10,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-09,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-08,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-07,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-03,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
2023-02-02,TURI,Tunas Ridean Tbk.,--U-1135000000E745-----------X,1560,0,0,0,1560,0,0,0,0,3466.7,0,0,0,0,5580000000,5580000000,558000,0,0,0,0,0
