Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,UANG,Pakuan Tbk.,--UO2135000000H111------------,3450,4310,4310,4020,4310,860,3001700,12732157000,2752,3448.0,0,0,4310,902000,1210000000,1210000000,168553000,542900,133600,0,0,0
2026-03-10,UANG,Pakuan Tbk.,--UO2135000000H111------------,3640,3790,3800,3190,3450,-190,951400,3305294000,962,2760.0,3460,1100,3440,1100,1210000000,1210000000,168553000,446300,103100,0,0,0
2026-03-09,UANG,Pakuan Tbk.,--UO2135000000H111------------,4130,4040,4040,3520,3640,-490,547500,2034184000,917,2912.0,3680,2200,3640,11200,1210000000,1210000000,168553000,174600,116000,500000,1760000000,2
2026-03-06,UANG,Pakuan Tbk.,--UO2135000000H111------------,4230,4340,4340,4050,4130,-100,463400,1911677000,375,3304.0,4130,2600,4120,900,1210000000,1210000000,168553000,36400,134500,0,0,0
2026-03-05,UANG,Pakuan Tbk.,--UO2135000000H111------------,4120,4190,4400,4190,4230,110,317200,1357636000,504,3384.0,4270,2000,4230,7000,1210000000,1210000000,168553000,32200,142900,0,0,0
2026-03-04,UANG,Pakuan Tbk.,--UO2135000000H111------------,4150,4100,4190,4030,4120,-30,752700,3077771000,601,3296.0,4120,3900,4100,1089800,1210000000,1210000000,168553000,223600,103800,1500000,5295000000,2
2026-03-03,UANG,Pakuan Tbk.,--UO2135000000H111------------,4100,4120,4250,4110,4150,50,297700,1237587000,412,3320.0,4150,400,4140,100,1210000000,1210000000,168553000,45200,130300,0,0,0
2026-03-02,UANG,Pakuan Tbk.,--UO2135000000H111------------,4380,4200,4340,4060,4100,-280,613300,2545030000,743,3280.0,4120,300,4100,1516400,1210000000,1210000000,168553000,140800,62400,500000,1865000000,2
2026-02-27,UANG,Pakuan Tbk.,--UO2135000000H111------------,4180,0,4480,4020,4380,200,990800,4205092000,900,3504.0,4380,20600,4370,100,1210000000,1210000000,168553000,134100,410400,0,0,0
2026-02-26,UANG,Pakuan Tbk.,--UO2135000000H111------------,4210,4300,4320,4030,4180,-30,854100,3572503000,703,3344.0,4200,4200,4180,500,1210000000,1210000000,168553000,241300,229800,0,0,0
2026-02-25,UANG,Pakuan Tbk.,--UO2135000000H111------------,4130,4210,4400,4070,4210,80,815700,3436496000,853,3368.0,4210,3200,4200,100,1210000000,1210000000,168553000,164400,315900,0,0,0
2026-02-24,UANG,Pakuan Tbk.,--UO2135000000H111------------,4220,4240,4300,4020,4130,-90,822000,3394127000,665,3304.0,4150,2800,4130,3900,1210000000,1210000000,168553000,266700,63500,0,0,0
2026-02-23,UANG,Pakuan Tbk.,--UO2135000000H111------------,4120,4200,4350,4100,4220,100,690500,2925558000,948,3376.0,4230,4700,4220,9900,1210000000,1210000000,168553000,42400,222100,0,0,0
2026-02-20,UANG,Pakuan Tbk.,--UO2135000000H111------------,4260,4260,4320,4110,4120,-140,411900,1721849000,646,3296.0,4150,600,4120,13400,1210000000,1210000000,168553000,157000,66800,0,0,0
2026-02-19,UANG,Pakuan Tbk.,--UO2135000000H111------------,4270,4270,4450,4240,4260,-10,1108400,4821757000,1335,3408.0,4270,5600,4260,3400,1210000000,1210000000,168553000,201700,347000,0,0,0
2026-02-18,UANG,Pakuan Tbk.,--UO2135000000H111------------,4100,4150,4450,4110,4270,170,871700,3717012000,1226,3416.0,4270,1000,4260,600,1210000000,1210000000,168553000,165000,289300,0,0,0
2026-02-13,UANG,Pakuan Tbk.,--UO2135000000H111------------,4100,4150,4200,4000,4100,0,607500,2486579000,818,3280.0,4110,7800,4090,600,1210000000,1210000000,168553000,60800,129200,0,0,0
2026-02-12,UANG,Pakuan Tbk.,--UO2135000000H111------------,4180,4230,4290,3960,4100,-80,1132900,4656373000,1602,3280.0,4100,200,4080,1700,1210000000,1210000000,168553000,505400,109900,0,0,0
2026-02-11,UANG,Pakuan Tbk.,--UO2135000000H111------------,3620,3750,4200,3750,4180,560,1544400,6164099000,2009,3344.0,4180,12100,4120,2200,1210000000,1210000000,168553000,391100,423500,0,0,0
2026-02-10,UANG,Pakuan Tbk.,--UO2135000000H111------------,3630,3650,3890,3490,3620,-10,590000,2191872000,854,2896.0,3660,900,3620,19900,1210000000,1210000000,168553000,162900,118600,0,0,0
