Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-10,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-09,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-06,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-05,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-04,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-03,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-03-02,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-27,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-26,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-25,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-24,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-23,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-20,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-19,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-18,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-13,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-12,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-11,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-10,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-09,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-06,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-05,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-04,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
2026-02-03,UNIT,Nusantara Inti Corpora Tbk,--U-4100000000E413---L---Y---X,316,0,0,0,316,0,0,0,0,7.8,0,0,0,0,75422200,75422200,30923102,0,0,0,0,0
