Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-10,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,76,76,80,76,78,2,14908900,1162844900,502,32.5,78,50800,77,437800,6666666700,6666666700,1666666675,208500,159100,0,0,0
2026-03-09,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,79,78,79,73,76,-3,18515700,1390911500,520,31.7,76,209900,75,1500,6666666700,6666666700,1666666675,1373100,195300,0,0,0
2026-03-06,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,79,80,82,76,79,0,14673900,1155564900,474,32.9,79,55000,78,135600,6666666700,6666666700,1666666675,399200,69800,0,0,0
2026-03-05,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,77,77,81,77,79,2,15252800,1210402800,315,32.9,80,128200,79,109600,6666666700,6666666700,1666666675,304500,23500,0,0,0
2026-03-04,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,82,82,84,76,77,-5,17715000,1391217200,862,32.1,78,72700,77,100,6666666700,6666666700,1666666675,794700,71700,0,0,0
2026-03-03,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,81,83,87,80,82,1,16367400,1341774400,475,34.2,82,3800,81,71900,6666666700,6666666700,1666666675,1027800,111400,0,0,0
2026-03-02,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,87,76,86,76,81,-6,18677900,1538930400,697,33.8,81,14900,80,162000,6666666700,6666666700,1666666675,1262500,243800,0,0,0
2026-02-27,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,89,89,89,86,87,-2,13625000,1189389300,424,36.3,87,8500,86,384600,6666666700,6666666700,1666666675,172200,43700,0,0,0
2026-02-26,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,90,89,91,87,89,-1,14829600,1319341100,534,37.1,89,129700,88,113900,6666666700,6666666700,1666666675,1319400,79100,0,0,0
2026-02-25,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,89,89,91,88,90,1,13322400,1195393400,769,37.5,91,177900,89,391100,6666666700,6666666700,1666666675,303400,45200,0,0,0
2026-02-24,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,90,91,94,89,89,-1,13528500,1231931300,470,37.1,91,225300,89,411100,6666666700,6666666700,1666666675,287200,62900,0,0,0
2026-02-23,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,90,92,92,90,90,0,12973700,1180244100,455,37.5,91,283700,90,316100,6666666700,6666666700,1666666675,31000,799000,0,0,0
2026-02-20,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,92,93,93,90,90,-2,13271800,1211512200,397,37.5,91,48600,90,272900,6666666700,6666666700,1666666675,181600,701000,0,0,0
2026-02-19,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,91,90,93,90,92,1,12556100,1149054800,482,38.3,93,237600,92,49700,6666666700,6666666700,1666666675,36600,342000,0,0,0
2026-02-18,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,88,88,93,87,91,3,11870300,1052715600,530,37.9,91,51500,90,45000,6666666700,6666666700,1666666675,531300,1009300,0,0,0
2026-02-13,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,86,86,89,85,88,2,4004400,349094200,275,36.7,88,107400,87,84500,6666666700,6666666700,1666666675,40700,154400,0,0,0
2026-02-12,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,87,88,88,86,86,-1,4143200,360862800,279,35.8,87,8800,86,263600,6666666700,6666666700,1666666675,30900,206300,0,0,0
2026-02-11,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,83,83,89,83,87,4,7919700,683677400,517,36.3,87,14600,86,3000,6666666700,6666666700,1666666675,40700,3376600,0,0,0
2026-02-10,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,83,83,85,82,83,0,5904700,490331000,346,34.6,84,17000,83,239500,6666666700,6666666700,1666666675,38100,446100,0,0,0
2026-02-09,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,80,80,84,79,83,3,6065900,488247000,685,34.6,83,286200,82,1100,6666666700,6666666700,1666666675,46400,319100,0,0,0
2026-02-06,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,83,83,85,80,80,-3,6544800,531349000,448,33.3,81,118600,80,350900,6666666700,6666666700,1666666675,1032500,64500,0,0,0
2026-02-05,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,84,85,87,82,83,-1,2684600,223294700,402,34.6,84,65600,83,264300,6666666700,6666666700,1666666675,156300,127600,0,0,0
2026-02-04,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,86,86,87,83,84,-2,10061200,852283300,585,35.0,85,235800,84,34400,6666666700,6666666700,1666666675,126500,105900,0,0,0
2026-02-03,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,82,82,86,79,86,4,14655500,1210588900,731,35.8,86,270800,85,179600,6666666700,6666666700,1666666675,116400,551100,0,0,0
2026-02-02,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,89,89,89,81,82,-7,12540200,1054873300,698,34.2,82,157400,81,373100,6666666700,6666666700,1666666675,252000,205500,0,0,0
2026-01-30,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,88,88,92,86,89,1,16096600,1440015900,935,37.1,89,318300,88,1000,6666666700,6666666700,1666666675,103600,96000,0,0,0
2026-01-29,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,88,88,89,75,88,0,23216400,1879609800,1269,36.7,88,170600,87,79700,6666666700,6666666700,1666666675,584100,1386900,0,0,0
2026-01-28,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,98,97,97,84,88,-10,32364700,2907016400,2219,36.7,88,295500,87,75600,6666666700,6666666700,1666666675,2343400,6206600,0,0,0
2026-01-27,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,99,100,100,97,98,-1,15404500,1511611800,958,40.8,98,129800,97,1555000,6666666700,6666666700,1666666675,1874100,74300,0,0,0
2026-01-26,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,99,100,102,97,99,0,20168300,2004355400,1448,41.3,99,27600,98,5200,6666666700,6666666700,1666666675,3377500,851000,0,0,0
2026-01-23,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,99,103,108,98,99,0,58903800,6035811600,3900,41.3,100,2600,99,747600,6666666700,6666666700,1666666675,5434000,1746400,0,0,0
2026-01-22,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,98,99,100,97,99,1,8083500,796807900,442,41.3,99,489700,98,695200,6666666700,6666666700,1666666675,64900,532800,0,0,0
2026-01-21,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,101,101,103,98,98,-3,14730400,1470872300,881,40.8,100,316600,98,34700,6666666700,6666666700,1666666675,526100,489600,0,0,0
2026-01-20,UNTD,Terang Dunia Internusa Tbk.,--MO2100000000E321------------,100,100,102,99,101,1,14480500,1448909900,768,42.1,101,1188100,100,100,6666666700,6666666700,1666666675,68200,942500,0,0,0
