Date,Ticker,Name,Remarks,Previous,Open,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,NonRegularVolume,NonRegularValue,NonRegularFrequency
2026-03-11,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,370,390,390,346,362,-8,82300,30253200,108,121.5,366,6900,358,1600,870171478,870171478,132527116,5100,5100,0,0,0
2026-03-10,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,404,466,505,364,370,-34,698500,310050000,453,124.2,370,8500,366,1100,870171478,870171478,132527116,15100,43100,0,0,0
2026-03-09,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,466,0,466,404,404,-62,9500,4204800,12,135.6,448,500,404,1300,870171478,870171478,132527116,0,0,0,0,0
2026-03-06,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,476,0,476,440,466,-10,5900,2696000,24,156.4,464,2300,462,100,870171478,870171478,132527116,0,0,0,0,0
2026-03-05,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,462,0,478,458,476,14,1800,835200,7,159.7,474,700,458,11600,870171478,870171478,132527116,0,0,0,0,0
2026-03-04,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,478,0,476,458,462,-16,8900,4088400,19,155.0,462,10200,418,100,870171478,870171478,132527116,0,0,0,0,0
2026-03-03,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,478,468,484,452,478,0,9800,4543000,27,160.4,478,1500,418,1000,870171478,870171478,132527116,0,0,0,0,0
2026-03-02,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,482,482,494,456,478,-4,55900,26175200,77,160.4,476,300,468,1000,870171478,870171478,132527116,0,14900,0,0,0
2026-02-27,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,474,486,486,474,482,8,59400,28425400,33,161.7,480,2100,472,58600,870171478,870171478,132527116,2200,0,0,0,0
2026-02-26,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,480,480,494,474,474,-6,37700,18050400,51,159.1,474,2000,472,7900,870171478,870171478,132527116,2000,11900,0,0,0
2026-02-25,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,490,488,488,468,480,-10,21400,10249800,31,161.1,480,5200,468,2500,870171478,870171478,132527116,1900,0,0,0,0
2026-02-24,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,490,490,490,478,490,0,22800,11057000,20,164.4,488,3500,484,1700,870171478,870171478,132527116,0,0,0,0,0
2026-02-23,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,488,0,494,486,490,2,35200,17276000,49,164.4,492,30800,490,300,870171478,870171478,132527116,5000,0,0,0,0
2026-02-20,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,486,0,492,486,488,2,70100,34100800,45,163.8,488,2200,486,5500,870171478,870171478,132527116,14600,0,0,0,0
2026-02-19,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,472,472,490,472,486,14,113700,55372600,94,163.1,486,3600,484,33300,870171478,870171478,132527116,0,0,0,0,0
2026-02-18,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,488,490,490,470,472,-16,160300,76220800,185,158.4,478,500,472,4800,870171478,870171478,132527116,5800,0,0,0,0
2026-02-13,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,488,494,496,480,488,0,114200,55281800,127,163.8,488,12200,486,6200,870171478,870171478,132527116,2100,0,0,0,0
2026-02-12,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,505,510,510,484,488,-17,154700,76392900,166,163.8,492,6800,488,10800,870171478,870171478,132527116,0,5900,41921200,18864540000,1
2026-02-11,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,525,535,490,505,-15,490700,246506800,423,169.5,510,5700,500,2500,870171478,870171478,132527116,5300,40200,0,0,0
2026-02-10,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,580,575,575,494,520,-60,1424200,758990400,996,174.5,520,9200,515,5800,870171478,870171478,132527116,133800,106600,0,0,0
2026-02-09,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,476,476,595,474,580,104,837700,471774600,328,194.6,580,12500,575,500,870171478,870171478,132527116,20400,31700,0,0,0
2026-02-06,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,476,0,476,476,476,0,200,95200,2,159.7,476,10000,466,500,870171478,870171478,132527116,0,0,0,0,0
2026-02-05,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,468,0,476,466,476,8,7400,3469400,17,159.7,476,4000,468,800,870171478,870171478,132527116,0,0,0,0,0
2026-02-04,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,470,0,470,460,468,-2,25900,12008800,26,157.0,468,1000,460,3400,870171478,870171478,132527116,0,2800,0,0,0
2026-02-03,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,470,0,470,462,470,0,67200,31442600,35,157.7,470,6400,466,100,870171478,870171478,132527116,0,0,0,0,0
2026-02-02,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,480,482,482,466,470,-10,85900,41022000,61,157.7,470,11600,466,600,870171478,870171478,132527116,12300,0,0,0,0
2026-01-30,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,474,0,490,474,480,6,56200,26739600,27,161.1,480,6400,478,600,870171478,870171478,132527116,600,0,0,0,0
2026-01-29,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,492,0,486,470,474,-18,70600,33610000,49,159.1,474,5600,472,800,870171478,870171478,132527116,0,0,0,0,0
2026-01-28,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,498,490,494,486,492,-6,86200,42314000,74,165.1,492,10400,490,500,870171478,870171478,132527116,0,0,0,0,0
2026-01-27,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,500,500,500,490,498,-2,114800,56778600,59,167.1,498,4300,496,4000,870171478,870171478,132527116,500,0,0,0,0
2026-01-26,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,510,498,510,494,500,-10,169800,84872100,98,167.8,500,18400,492,9800,870171478,870171478,132527116,1500,0,0,0,0
2026-01-23,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,520,520,496,510,-10,255000,128155100,99,171.1,505,2800,498,200,870171478,870171478,132527116,13500,0,0,0,0
2026-01-22,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,0,525,510,520,0,113200,58579500,28,174.5,520,10100,515,18500,870171478,870171478,132527116,0,0,0,0,0
2026-01-21,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,515,0,540,505,520,5,155800,80639000,64,174.5,520,8000,515,100,870171478,870171478,132527116,200,0,0,0,0
2026-01-20,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,505,0,515,510,515,10,91100,46488000,58,172.8,515,2400,510,21200,870171478,870171478,132527116,0,0,0,0,0
2026-01-19,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,515,525,540,500,505,-10,245400,126774000,152,169.5,515,33100,505,4300,870171478,870171478,132527116,1200,0,0,0,0
2026-01-15,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,515,0,555,500,515,0,258900,134851500,159,172.8,515,2500,510,3800,870171478,870171478,132527116,500,0,0,0,0
2026-01-14,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,515,525,500,515,-5,124300,63800500,56,172.8,515,8600,505,2000,870171478,870171478,132527116,0,0,0,0,0
2026-01-13,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,0,525,505,520,-5,105300,54594000,42,174.5,520,2400,515,1000,870171478,870171478,132527116,6100,0,0,0,0
2026-01-12,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,525,530,500,525,0,106900,55809000,53,176.2,525,2400,510,900,870171478,870171478,132527116,0,0,0,0,0
2026-01-09,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,0,530,505,525,0,82900,43142500,32,176.2,525,1400,520,1000,870171478,870171478,132527116,0,0,0,0,0
2026-01-08,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,0,530,510,525,5,117400,61299000,47,176.2,525,53400,510,500,870171478,870171478,132527116,0,0,0,0,0
2026-01-07,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,0,530,520,520,-5,101100,53070000,53,174.5,530,32400,520,1500,870171478,870171478,132527116,100,0,0,0,0
2026-01-06,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,505,530,505,525,5,68500,35889500,41,176.2,525,1400,515,200,870171478,870171478,132527116,500,0,0,0,0
2026-01-05,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,520,525,505,520,-5,18800,9784500,35,174.5,520,400,510,200,870171478,870171478,132527116,100,0,0,0,0
2026-01-02,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,520,530,505,525,5,15500,8104000,38,176.2,525,700,520,200,870171478,870171478,132527116,0,0,0,0,0
2025-12-30,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,0,525,515,520,-5,6500,3371000,26,174.5,525,1500,515,600,870171478,870171478,132527116,0,0,0,0,0
2025-12-29,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,525,530,510,525,0,12900,6711500,29,176.2,525,1700,520,200,870171478,870171478,132527116,2000,0,0,0,0
2025-12-24,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,530,540,540,510,525,-5,6100,3197000,17,176.2,525,900,510,3200,870171478,870171478,132527116,2500,0,0,0,0
2025-12-23,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,0,540,500,530,5,13200,6700500,35,177.9,530,4800,510,800,870171478,870171478,132527116,0,0,0,0,0
2025-12-22,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,525,525,525,510,525,0,4500,2342500,22,176.2,525,5300,515,700,870171478,870171478,132527116,100,0,0,0,0
2025-12-19,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,535,0,535,515,525,-10,11100,5876000,12,176.2,525,100,520,2400,870171478,870171478,132527116,0,0,0,0,0
2025-12-18,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,0,535,515,535,15,14200,7416500,18,179.5,535,31200,520,500,870171478,870171478,132527116,0,0,0,0,0
2025-12-17,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,530,545,545,520,520,-10,55600,29749000,34,174.5,535,11200,515,3800,870171478,870171478,132527116,4900,0,0,0,0
2025-12-16,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,520,520,545,515,530,10,10600,5621000,33,177.9,530,1700,520,100,870171478,870171478,132527116,300,0,0,0,0
2025-12-15,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,535,0,535,515,520,-15,146200,75730500,92,174.5,520,900,510,13400,870171478,870171478,132527116,0,0,0,0,0
2025-12-12,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,535,535,535,530,535,0,15300,8170500,27,179.5,535,21100,530,3400,870171478,870171478,132527116,0,0,0,0,0
2025-12-11,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,555,560,560,530,535,-20,102500,55130000,72,179.5,535,676300,530,9500,870171478,870171478,132527116,0,7700,0,0,0
2025-12-10,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,580,580,580,550,555,-25,63300,35795000,77,186.2,555,16300,550,22200,870171478,870171478,132527116,4400,4400,0,0,0
2025-12-09,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,560,0,700,555,580,20,892000,555864500,503,194.6,580,17300,575,100,870171478,870171478,132527116,90800,36200,0,0,0
2025-12-08,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,545,0,560,535,560,15,3200,1753500,14,187.9,560,7200,540,2400,870171478,870171478,132527116,0,0,0,0,0
2025-12-05,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,550,0,555,530,545,-5,10100,5431500,26,182.9,555,1100,530,3300,870171478,870171478,132527116,0,0,0,0,0
2025-12-04,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,550,0,550,535,550,0,13500,7410000,17,184.6,550,1000,535,4300,870171478,870171478,132527116,0,0,0,0,0
2025-12-03,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,540,0,550,540,550,10,80500,43854500,11,184.6,550,12000,545,1200,870171478,870171478,132527116,7200,0,0,0,0
2025-12-02,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,545,0,545,530,540,-5,6300,3387000,20,181.2,540,200,530,800,870171478,870171478,132527116,0,0,0,0,0
2025-12-01,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,530,530,545,530,545,15,11900,6416500,16,182.9,545,2700,530,10500,870171478,870171478,132527116,300,0,0,0,0
2025-11-28,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,530,0,540,520,530,0,52200,27685000,49,177.9,530,4800,525,2300,870171478,870171478,132527116,0,0,0,0,0
2025-11-27,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,535,0,550,530,530,-5,31500,16855500,49,177.9,535,100,530,5400,870171478,870171478,132527116,0,0,0,0,0
2025-11-26,ZONE,Mega Perintis Tbk.,--UO2130000000E741------------,540,0,550,530,535,-5,63600,34577500,34,179.5,535,1100,530,4800,870171478,870171478,132527116,3000,0,0,0,0
